# event_ticker=KXATPCHALLENGERMATCH-26APR01MIDTOR
# final_score=7-5 6-3
# match_winner=Lautaro Midon
# fav_player=Lautaro Midon
# dog_player=Juan Bautista Torres
# kalshi_date=2026-04-01
timestamp,Lautaro Midon,Juan Bautista Torres
2026-04-01T04:17:00Z,48.00,
2026-04-01T04:26:00Z,48.00,
2026-04-01T05:23:00Z,48.00,51.00
2026-04-01T05:29:00Z,48.00,54.00
2026-04-01T05:33:00Z,48.00,54.00
2026-04-01T05:51:00Z,49.00,54.00
2026-04-01T06:45:00Z,49.00,54.00
2026-04-01T06:48:00Z,49.00,54.00
2026-04-01T06:54:00Z,50.00,54.00
2026-04-01T07:12:00Z,50.00,54.00
2026-04-01T07:32:00Z,50.00,54.00
2026-04-01T07:33:00Z,49.00,52.00
2026-04-01T07:35:00Z,47.00,52.00
2026-04-01T07:36:00Z,47.00,52.00
2026-04-01T07:53:00Z,47.00,54.00
2026-04-01T08:06:00Z,47.00,54.00
2026-04-01T08:12:00Z,47.00,54.00
2026-04-01T09:43:00Z,47.00,54.00
2026-04-01T09:53:00Z,47.00,54.00
2026-04-01T10:36:00Z,47.00,54.00
2026-04-01T11:09:00Z,47.00,54.00
2026-04-01T11:37:00Z,47.00,54.00
2026-04-01T11:38:00Z,47.00,54.00
2026-04-01T11:48:00Z,47.00,54.00
2026-04-01T12:05:00Z,47.00,54.00
2026-04-01T12:13:00Z,48.00,54.00
2026-04-01T12:23:00Z,48.00,54.00
2026-04-01T12:24:00Z,48.00,54.00
2026-04-01T13:01:00Z,48.00,54.00
2026-04-01T13:12:00Z,48.00,54.00
2026-04-01T13:21:00Z,48.00,54.00
2026-04-01T13:36:00Z,48.00,54.00
2026-04-01T13:38:00Z,48.00,54.00
2026-04-01T13:42:00Z,48.00,54.00
2026-04-01T13:45:00Z,49.00,54.00
2026-04-01T13:49:00Z,49.00,54.00
2026-04-01T13:54:00Z,49.00,53.00
2026-04-01T13:58:00Z,48.47,54.00
2026-04-01T14:04:00Z,49.00,54.00
2026-04-01T14:05:00Z,49.00,54.00
2026-04-01T14:06:00Z,49.00,53.99
2026-04-01T14:07:00Z,49.29,53.99
2026-04-01T14:12:00Z,49.95,53.99
2026-04-01T14:13:00Z,50.00,52.00
2026-04-01T14:14:00Z,50.00,52.00
2026-04-01T14:15:00Z,50.00,52.00
2026-04-01T14:16:00Z,52.00,51.27
2026-04-01T14:17:00Z,55.95,45.56
2026-04-01T14:18:00Z,64.70,49.14
2026-04-01T14:19:00Z,63.00,49.17
2026-04-01T14:20:00Z,66.82,51.00
2026-04-01T14:21:00Z,66.82,51.00
2026-04-01T14:22:00Z,66.82,49.74
2026-04-01T14:23:00Z,51.75,51.63
2026-04-01T14:24:00Z,58.85,45.74
2026-04-01T14:25:00Z,63.49,50.19
2026-04-01T14:26:00Z,64.63,37.29
2026-04-01T14:27:00Z,51.29,46.32
2026-04-01T14:28:00Z,51.04,51.00
2026-04-01T14:29:00Z,50.07,54.97
2026-04-01T14:30:00Z,45.35,57.37
2026-04-01T14:31:00Z,39.10,61.57
2026-04-01T14:32:00Z,41.10,61.83
2026-04-01T14:33:00Z,40.08,59.56
2026-04-01T14:34:00Z,50.55,49.42
2026-04-01T14:35:00Z,54.84,42.07
2026-04-01T14:36:00Z,50.16,48.23
2026-04-01T14:37:00Z,40.16,58.97
2026-04-01T14:38:00Z,35.99,64.52
2026-04-01T14:39:00Z,37.00,63.99
2026-04-01T14:40:00Z,39.29,63.88
2026-04-01T14:41:00Z,44.44,54.02
2026-04-01T14:42:00Z,50.49,50.35
2026-04-01T14:43:00Z,51.92,48.76
2026-04-01T14:44:00Z,53.52,46.97
2026-04-01T14:45:00Z,56.78,44.61
2026-04-01T14:46:00Z,54.20,46.48
2026-04-01T14:47:00Z,56.06,43.25
2026-04-01T14:48:00Z,59.00,42.83
2026-04-01T14:49:00Z,58.82,42.55
2026-04-01T14:50:00Z,58.35,42.52
2026-04-01T14:51:00Z,54.37,47.53
2026-04-01T14:52:00Z,52.78,48.54
2026-04-01T14:53:00Z,55.92,44.13
2026-04-01T14:54:00Z,54.17,47.20
2026-04-01T14:55:00Z,54.61,47.48
2026-04-01T14:56:00Z,56.34,44.07
2026-04-01T14:57:00Z,56.88,45.59
2026-04-01T14:58:00Z,57.36,43.62
2026-04-01T14:59:00Z,60.98,40.23
2026-04-01T15:00:00Z,61.04,39.93
2026-04-01T15:01:00Z,65.10,36.09
2026-04-01T15:02:00Z,61.85,38.07
2026-04-01T15:03:00Z,68.05,31.99
2026-04-01T15:04:00Z,69.18,30.29
2026-04-01T15:05:00Z,62.33,38.86
2026-04-01T15:06:00Z,67.04,33.77
2026-04-01T15:07:00Z,62.68,40.51
2026-04-01T15:08:00Z,57.48,42.51
2026-04-01T15:09:00Z,54.19,46.40
2026-04-01T15:10:00Z,55.17,50.08
2026-04-01T15:11:00Z,55.07,42.81
2026-04-01T15:12:00Z,62.83,38.87
2026-04-01T15:13:00Z,62.97,39.02
2026-04-01T15:14:00Z,61.09,40.80
2026-04-01T15:15:00Z,57.60,42.70
2026-04-01T15:16:00Z,56.15,43.41
2026-04-01T15:17:00Z,54.56,45.16
2026-04-01T15:18:00Z,53.08,49.34
2026-04-01T15:19:00Z,51.80,45.28
2026-04-01T15:20:00Z,60.87,40.93
2026-04-01T15:21:00Z,61.49,40.98
2026-04-01T15:22:00Z,60.91,42.14
2026-04-01T15:23:00Z,68.05,34.48
2026-04-01T15:24:00Z,74.93,28.86
2026-04-01T15:25:00Z,75.16,27.05
2026-04-01T15:26:00Z,72.84,30.95
2026-04-01T15:27:00Z,77.26,23.51
2026-04-01T15:28:00Z,76.50,25.25
2026-04-01T15:29:00Z,76.09,25.76
2026-04-01T15:30:00Z,77.53,24.51
2026-04-01T15:31:00Z,78.00,22.77
2026-04-01T15:32:00Z,78.16,23.93
2026-04-01T15:33:00Z,76.49,22.79
2026-04-01T15:34:00Z,77.00,23.77
2026-04-01T15:35:00Z,77.70,24.71
2026-04-01T15:36:00Z,76.21,25.69
2026-04-01T15:37:00Z,78.06,23.42
2026-04-01T15:38:00Z,76.59,23.00
2026-04-01T15:39:00Z,80.29,20.69
2026-04-01T15:40:00Z,81.85,19.15
2026-04-01T15:41:00Z,82.33,17.58
2026-04-01T15:42:00Z,85.37,15.86
2026-04-01T15:43:00Z,82.68,19.18
2026-04-01T15:44:00Z,81.28,21.57
2026-04-01T15:45:00Z,79.67,21.23
2026-04-01T15:46:00Z,82.13,19.02
2026-04-01T15:47:00Z,83.57,17.05
2026-04-01T15:48:00Z,83.97,17.56
2026-04-01T15:49:00Z,82.71,19.11
2026-04-01T15:50:00Z,85.97,14.34
2026-04-01T15:51:00Z,90.60,9.91
2026-04-01T15:52:00Z,92.85,6.25
2026-04-01T15:53:00Z,94.22,3.92
2026-04-01T15:54:00Z,94.53,5.54
2026-04-01T15:55:00Z,94.26,5.80
2026-04-01T15:56:00Z,93.85,7.64
2026-04-01T15:57:00Z,87.11,12.45
2026-04-01T15:58:00Z,84.28,16.00
2026-04-01T15:59:00Z,83.99,18.81
2026-04-01T16:00:00Z,79.67,20.12
2026-04-01T16:01:00Z,81.84,16.76
2026-04-01T16:02:00Z,82.12,18.44
2026-04-01T16:03:00Z,79.41,21.84
2026-04-01T16:04:00Z,82.46,17.99
2026-04-01T16:05:00Z,84.71,14.95
2026-04-01T16:06:00Z,84.77,15.00
2026-04-01T16:07:00Z,85.48,14.69
2026-04-01T16:08:00Z,89.75,9.46
2026-04-01T16:09:00Z,94.72,6.73
2026-04-01T16:10:00Z,96.71,3.33
2026-04-01T16:11:00Z,96.96,2.03
2026-04-01T16:12:00Z,97.89,2.38
2026-04-01T16:13:00Z,97.51,4.20
2026-04-01T16:14:00Z,97.91,1.73
2026-04-01T16:15:00Z,99.00,1.00
2026-04-01T16:16:00Z,99.00,1.00
2026-04-01T16:17:00Z,99.00,1.00
