# event_ticker=KXATPCHALLENGERMATCH-26APR01ZHUMAR
# final_score=7-6(3) 6-7(6) 6-4
# score_resolution=7-6 6-7 6-4
# match_winner=Beibit Zhukayev
# fav_player=Beibit Zhukayev
# dog_player=Dan Martin
# kalshi_date=2026-04-01
timestamp,Beibit Zhukayev,Dan Martin
2026-04-01T10:35:00Z,59.00,
2026-04-01T10:53:00Z,59.00,
2026-04-01T13:09:00Z,59.00,
2026-04-01T14:06:00Z,59.00,44.00
2026-04-01T15:40:00Z,55.00,44.00
2026-04-01T15:54:00Z,55.00,45.00
2026-04-01T16:01:00Z,55.00,45.00
2026-04-01T16:35:00Z,55.00,45.00
2026-04-01T17:41:00Z,55.00,45.00
2026-04-01T18:12:00Z,55.00,45.00
2026-04-01T18:39:00Z,55.00,45.00
2026-04-01T18:49:00Z,55.00,45.00
2026-04-01T19:19:00Z,55.00,45.00
2026-04-01T19:29:00Z,55.00,45.00
2026-04-01T19:34:00Z,55.00,47.00
2026-04-01T19:36:00Z,55.00,47.00
2026-04-01T19:41:00Z,55.00,47.00
2026-04-01T19:45:00Z,55.00,47.00
2026-04-01T19:49:00Z,56.00,47.00
2026-04-01T19:55:00Z,56.00,47.00
2026-04-01T20:00:00Z,56.00,47.00
2026-04-01T20:06:00Z,55.00,47.00
2026-04-01T20:08:00Z,55.00,47.00
2026-04-01T20:10:00Z,55.00,47.00
2026-04-01T20:11:00Z,60.89,46.00
2026-04-01T20:12:00Z,57.96,40.59
2026-04-01T20:13:00Z,57.39,39.00
2026-04-01T20:14:00Z,55.83,42.88
2026-04-01T20:15:00Z,53.17,47.92
2026-04-01T20:16:00Z,53.45,46.00
2026-04-01T20:17:00Z,56.48,46.79
2026-04-01T20:18:00Z,53.00,46.39
2026-04-01T20:19:00Z,58.53,44.92
2026-04-01T20:20:00Z,51.82,48.10
2026-04-01T20:21:00Z,52.57,48.00
2026-04-01T20:22:00Z,51.65,49.92
2026-04-01T20:23:00Z,51.96,49.09
2026-04-01T20:24:00Z,49.94,50.35
2026-04-01T20:25:00Z,51.33,47.01
2026-04-01T20:26:00Z,49.84,50.80
2026-04-01T20:27:00Z,49.98,50.25
2026-04-01T20:28:00Z,51.00,50.00
2026-04-01T20:29:00Z,54.46,49.38
2026-04-01T20:30:00Z,54.79,46.00
2026-04-01T20:31:00Z,49.33,53.03
2026-04-01T20:32:00Z,52.62,46.84
2026-04-01T20:33:00Z,51.22,49.93
2026-04-01T20:34:00Z,48.50,51.75
2026-04-01T20:35:00Z,48.66,52.00
2026-04-01T20:36:00Z,47.83,55.07
2026-04-01T20:37:00Z,40.38,60.36
2026-04-01T20:38:00Z,44.04,55.45
2026-04-01T20:39:00Z,47.97,52.02
2026-04-01T20:40:00Z,51.21,47.38
2026-04-01T20:41:00Z,54.81,48.27
2026-04-01T20:42:00Z,50.05,49.88
2026-04-01T20:43:00Z,51.78,51.09
2026-04-01T20:44:00Z,48.96,51.87
2026-04-01T20:45:00Z,48.38,51.78
2026-04-01T20:46:00Z,53.11,47.14
2026-04-01T20:47:00Z,52.14,46.59
2026-04-01T20:48:00Z,54.39,48.43
2026-04-01T20:49:00Z,59.54,37.30
2026-04-01T20:50:00Z,63.81,36.54
2026-04-01T20:51:00Z,62.36,40.58
2026-04-01T20:52:00Z,59.21,38.60
2026-04-01T20:53:00Z,58.63,39.07
2026-04-01T20:54:00Z,55.23,44.00
2026-04-01T20:55:00Z,52.95,48.95
2026-04-01T20:56:00Z,52.13,49.28
2026-04-01T20:57:00Z,55.73,44.97
2026-04-01T20:58:00Z,56.54,45.35
