# event_ticker=KXATPCHALLENGERMATCH-26APR07AGAROD
# final_score=5-7 6-2 6-1
# score_resolution=7-5 2-6 1-6
# match_winner=Franco Agamenone
# fav_player=Chris Rodesch
# dog_player=Franco Agamenone
# kalshi_date=2026-04-07
timestamp,Chris Rodesch,Franco Agamenone
2026-04-06T23:07:00Z,76.00,
2026-04-06T23:15:00Z,76.00,
2026-04-06T23:41:00Z,76.00,25.00
2026-04-07T01:19:00Z,76.00,25.00
2026-04-07T01:55:00Z,76.00,25.00
2026-04-07T02:46:00Z,76.00,25.00
2026-04-07T02:54:00Z,76.65,25.00
2026-04-07T04:26:00Z,77.00,25.00
2026-04-07T04:29:00Z,77.00,25.00
2026-04-07T04:43:00Z,77.00,23.00
2026-04-07T05:44:00Z,77.00,23.00
2026-04-07T07:11:00Z,77.00,23.57
2026-04-07T07:52:00Z,77.00,23.57
2026-04-07T07:58:00Z,77.00,26.00
2026-04-07T08:09:00Z,77.00,26.00
2026-04-07T08:21:00Z,77.00,26.00
2026-04-07T08:26:00Z,74.22,26.00
2026-04-07T08:32:00Z,76.00,26.00
2026-04-07T08:36:00Z,76.00,26.60
2026-04-07T08:37:00Z,76.00,26.60
2026-04-07T08:40:00Z,77.96,26.60
2026-04-07T08:41:00Z,77.96,23.00
2026-04-07T08:42:00Z,79.00,23.00
2026-04-07T08:43:00Z,80.17,19.30
2026-04-07T08:44:00Z,87.00,16.00
2026-04-07T08:45:00Z,86.00,13.09
2026-04-07T08:46:00Z,86.00,13.00
2026-04-07T08:47:00Z,86.00,14.00
2026-04-07T08:48:00Z,86.00,13.00
2026-04-07T08:49:00Z,89.00,13.00
2026-04-07T08:50:00Z,89.00,13.00
2026-04-07T08:53:00Z,89.00,17.00
2026-04-07T08:54:00Z,88.92,15.00
2026-04-07T08:55:00Z,88.92,13.00
2026-04-07T08:56:00Z,88.04,10.10
2026-04-07T08:57:00Z,90.54,10.61
2026-04-07T08:58:00Z,89.91,10.61
2026-04-07T09:00:00Z,88.00,10.61
2026-04-07T09:02:00Z,84.03,13.78
2026-04-07T09:03:00Z,84.03,7.42
2026-04-07T09:05:00Z,84.03,8.00
2026-04-07T09:07:00Z,84.03,10.00
2026-04-07T09:09:00Z,84.03,9.92
2026-04-07T09:10:00Z,87.92,12.91
2026-04-07T09:12:00Z,88.00,14.09
2026-04-07T09:13:00Z,85.00,15.90
2026-04-07T09:14:00Z,80.81,21.57
2026-04-07T09:16:00Z,80.81,29.12
2026-04-07T09:17:00Z,75.00,28.33
2026-04-07T09:18:00Z,76.94,22.39
2026-04-07T09:19:00Z,76.94,21.18
