# event_ticker=KXATPCHALLENGERMATCH-26APR07DUTTAB
# final_score=7-5 7-6(4)
# score_resolution=5-7 6-7
# match_winner=Daniel Dutra da Silva
# fav_player=Clement Tabur
# dog_player=Daniel Dutra Da Silva
# kalshi_date=2026-04-07
timestamp,Clement Tabur,Daniel Dutra Da Silva
2026-04-07T10:34:00Z,,26.00
2026-04-07T10:37:00Z,,26.00
2026-04-07T10:40:00Z,,26.00
2026-04-07T11:10:00Z,73.00,30.00
2026-04-07T11:18:00Z,73.00,30.00
2026-04-07T11:20:00Z,74.92,25.00
2026-04-07T11:44:00Z,76.00,25.95
2026-04-07T11:56:00Z,79.00,23.00
2026-04-07T12:38:00Z,78.00,23.00
2026-04-07T12:52:00Z,78.00,23.00
2026-04-07T13:09:00Z,78.00,23.00
2026-04-07T13:51:00Z,78.00,22.00
2026-04-07T14:03:00Z,78.00,22.00
2026-04-07T14:11:00Z,78.00,22.00
2026-04-07T14:12:00Z,78.00,22.00
2026-04-07T14:26:00Z,78.00,22.00
2026-04-07T14:45:00Z,78.00,22.00
2026-04-07T14:46:00Z,78.00,23.00
2026-04-07T15:18:00Z,79.00,23.00
2026-04-07T15:56:00Z,79.00,23.00
2026-04-07T16:22:00Z,79.00,22.00
2026-04-07T16:33:00Z,79.00,21.00
2026-04-07T16:34:00Z,80.00,21.00
2026-04-07T17:06:00Z,80.00,21.00
2026-04-07T17:56:00Z,80.00,21.00
2026-04-07T17:57:00Z,80.00,21.00
2026-04-07T18:08:00Z,80.00,21.00
2026-04-07T18:25:00Z,80.42,21.00
2026-04-07T18:32:00Z,80.42,21.00
2026-04-07T18:38:00Z,80.42,21.00
2026-04-07T18:41:00Z,80.42,21.00
2026-04-07T18:52:00Z,81.00,21.00
2026-04-07T19:02:00Z,81.00,21.00
2026-04-07T19:04:00Z,82.00,21.00
2026-04-07T19:11:00Z,83.00,21.00
2026-04-07T19:12:00Z,82.16,19.00
2026-04-07T19:18:00Z,82.16,18.63
2026-04-07T19:20:00Z,82.16,18.00
2026-04-07T19:21:00Z,83.00,18.00
2026-04-07T19:28:00Z,83.00,18.68
2026-04-07T19:35:00Z,83.00,18.36
2026-04-07T19:38:00Z,83.00,18.36
2026-04-07T19:39:00Z,83.00,18.84
2026-04-07T19:42:00Z,83.00,18.00
2026-04-07T19:54:00Z,83.00,19.00
2026-04-07T19:57:00Z,83.00,19.00
2026-04-07T20:00:00Z,83.00,19.00
2026-04-07T20:07:00Z,83.00,19.00
2026-04-07T20:13:00Z,83.00,19.00
2026-04-07T20:14:00Z,83.00,19.00
2026-04-07T20:21:00Z,83.00,19.00
2026-04-07T20:23:00Z,83.00,19.00
2026-04-07T20:25:00Z,83.00,19.59
2026-04-07T20:28:00Z,83.00,19.73
2026-04-07T20:31:00Z,83.00,19.00
2026-04-07T20:38:00Z,83.00,19.37
2026-04-07T20:39:00Z,83.00,19.00
2026-04-07T20:41:00Z,83.00,19.00
2026-04-07T20:43:00Z,83.00,19.00
2026-04-07T20:44:00Z,83.00,19.00
2026-04-07T20:55:00Z,82.96,19.00
2026-04-07T20:59:00Z,83.00,19.00
2026-04-07T21:00:00Z,83.72,19.00
2026-04-07T21:01:00Z,83.72,19.69
2026-04-07T21:02:00Z,80.00,20.00
2026-04-07T21:03:00Z,80.00,21.00
2026-04-07T21:05:00Z,80.00,21.00
2026-04-07T21:08:00Z,80.00,21.00
2026-04-07T21:09:00Z,80.00,21.00
2026-04-07T21:10:00Z,80.00,21.00
2026-04-07T21:11:00Z,80.00,21.00
2026-04-07T21:12:00Z,80.00,21.00
2026-04-07T21:13:00Z,80.00,21.00
2026-04-07T21:14:00Z,80.00,20.00
2026-04-07T21:15:00Z,75.47,22.13
2026-04-07T21:16:00Z,74.00,25.64
2026-04-07T21:17:00Z,75.00,25.46
2026-04-07T21:18:00Z,71.60,32.29
2026-04-07T21:19:00Z,67.94,31.24
2026-04-07T21:20:00Z,68.95,35.17
2026-04-07T21:21:00Z,71.17,28.40
2026-04-07T21:22:00Z,78.00,23.17
2026-04-07T21:23:00Z,80.00,19.94
2026-04-07T21:24:00Z,79.45,20.00
2026-04-07T21:25:00Z,83.38,16.09
2026-04-07T21:26:00Z,86.02,14.81
2026-04-07T21:27:00Z,85.38,14.68
2026-04-07T21:28:00Z,85.00,14.01
2026-04-07T21:29:00Z,84.56,17.09
2026-04-07T21:30:00Z,85.27,16.28
2026-04-07T21:31:00Z,87.00,13.75
2026-04-07T21:32:00Z,87.02,13.53
2026-04-07T21:33:00Z,86.00,14.44
