# event_ticker=KXATPCHALLENGERMATCH-26APR21SINALK
# final_score=6-1 6-4
# match_winner=Mert Alkaya
# fav_player=Mert Alkaya
# dog_player=Digvijay Pratap Singh
# kalshi_date=2026-04-21
timestamp,Digvijay Pratap Singh,Mert Alkaya
2026-04-21T05:37:00Z,,81.00
2026-04-21T06:10:00Z,,78.00
2026-04-21T07:46:00Z,22.00,78.00
2026-04-21T10:01:00Z,22.00,81.00
2026-04-21T10:50:00Z,22.00,81.00
2026-04-21T10:51:00Z,22.00,81.00
2026-04-21T10:54:00Z,22.00,81.00
2026-04-21T11:20:00Z,22.00,81.00
2026-04-21T11:27:00Z,20.00,81.00
2026-04-21T11:31:00Z,20.00,81.00
2026-04-21T11:49:00Z,20.00,81.00
2026-04-21T11:57:00Z,22.00,81.00
2026-04-21T12:13:00Z,22.00,81.00
2026-04-21T12:22:00Z,22.00,81.00
2026-04-21T12:29:00Z,22.00,81.00
2026-04-21T12:35:00Z,22.00,81.00
2026-04-21T12:51:00Z,22.00,81.00
2026-04-21T13:04:00Z,22.00,81.00
2026-04-21T13:12:00Z,22.00,81.00
2026-04-21T13:13:00Z,22.00,81.00
2026-04-21T13:14:00Z,22.00,81.00
2026-04-21T13:30:00Z,22.00,81.00
2026-04-21T13:45:00Z,21.00,81.00
2026-04-21T13:50:00Z,21.00,81.00
2026-04-21T14:18:00Z,21.00,80.00
2026-04-21T14:30:00Z,22.00,80.00
2026-04-21T15:04:00Z,22.00,80.00
2026-04-21T15:09:00Z,22.00,80.00
2026-04-21T15:17:00Z,22.00,80.00
2026-04-21T15:21:00Z,22.00,81.00
2026-04-21T15:23:00Z,22.00,81.00
2026-04-21T15:31:00Z,22.00,81.00
2026-04-21T15:55:00Z,22.00,80.00
2026-04-21T16:20:00Z,22.00,81.00
2026-04-21T16:25:00Z,21.00,81.00
2026-04-21T16:37:00Z,22.00,81.00
2026-04-21T16:46:00Z,22.00,81.00
2026-04-21T16:47:00Z,22.00,81.00
2026-04-21T16:48:00Z,22.00,81.00
2026-04-21T16:49:00Z,22.00,81.00
2026-04-21T16:53:00Z,22.00,81.00
2026-04-21T16:56:00Z,22.00,81.00
2026-04-21T17:01:00Z,22.00,80.99
2026-04-21T17:02:00Z,22.00,80.00
2026-04-21T17:04:00Z,22.00,80.00
2026-04-21T17:08:00Z,22.00,80.00
2026-04-21T17:09:00Z,22.00,80.00
2026-04-21T17:10:00Z,22.00,80.90
2026-04-21T17:11:00Z,22.00,80.90
2026-04-21T17:13:00Z,21.00,80.90
2026-04-21T17:14:00Z,20.61,81.00
2026-04-21T17:15:00Z,20.00,81.00
2026-04-21T17:17:00Z,19.72,80.00
2026-04-21T17:18:00Z,22.00,77.03
2026-04-21T17:19:00Z,23.54,77.03
2026-04-21T17:20:00Z,23.00,78.19
2026-04-21T17:21:00Z,20.56,80.00
2026-04-21T17:22:00Z,21.00,79.95
2026-04-21T17:23:00Z,21.98,78.04
2026-04-21T17:24:00Z,20.03,80.00
2026-04-21T17:25:00Z,20.70,82.00
2026-04-21T17:26:00Z,19.76,80.82
2026-04-21T17:27:00Z,10.05,89.10
2026-04-21T17:28:00Z,10.00,90.16
2026-04-21T17:29:00Z,10.78,88.93
