# event_ticker=KXATPCHALLENGERMATCH-26APR22SAISAK
# final_score=7-6(6) 7-6(3)
# score_resolution=6-7 6-7
# match_winner=Stefanos Sakellaridis
# fav_player=Nikolas Sanchez Izquierdo
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-04-22
timestamp,Nikolas Sanchez Izquierdo,Stefanos Sakellaridis
2026-04-21T23:45:00Z,,59.00
2026-04-22T00:46:00Z,,59.00
2026-04-22T01:34:00Z,,59.18
2026-04-22T02:17:00Z,42.00,59.18
2026-04-22T02:40:00Z,42.00,60.00
2026-04-22T03:06:00Z,42.00,60.00
2026-04-22T03:26:00Z,42.00,60.00
2026-04-22T03:52:00Z,42.00,60.65
2026-04-22T04:01:00Z,42.00,60.00
2026-04-22T04:15:00Z,42.00,60.48
2026-04-22T04:28:00Z,42.00,61.00
2026-04-22T04:44:00Z,41.00,61.00
2026-04-22T04:46:00Z,41.00,61.00
2026-04-22T05:22:00Z,39.00,61.00
2026-04-22T05:23:00Z,39.00,61.00
2026-04-22T05:28:00Z,41.00,61.00
2026-04-22T05:46:00Z,41.00,60.58
2026-04-22T06:32:00Z,41.00,61.00
2026-04-22T06:41:00Z,41.00,61.00
2026-04-22T06:51:00Z,41.00,61.00
2026-04-22T06:56:00Z,41.00,61.00
2026-04-22T07:04:00Z,41.00,61.00
2026-04-22T07:07:00Z,41.00,61.00
2026-04-22T07:12:00Z,40.00,61.00
2026-04-22T07:16:00Z,39.00,61.00
2026-04-22T07:24:00Z,40.00,61.00
2026-04-22T07:27:00Z,40.00,61.00
2026-04-22T07:44:00Z,40.00,61.00
2026-04-22T07:49:00Z,40.00,61.42
2026-04-22T07:54:00Z,41.00,61.42
2026-04-22T07:56:00Z,41.00,61.00
2026-04-22T07:59:00Z,41.00,61.00
2026-04-22T08:02:00Z,41.00,61.00
2026-04-22T08:03:00Z,41.00,61.00
2026-04-22T08:04:00Z,41.00,61.67
2026-04-22T08:09:00Z,41.00,61.00
2026-04-22T08:10:00Z,41.00,61.00
2026-04-22T08:12:00Z,41.00,61.00
2026-04-22T08:13:00Z,41.00,61.00
2026-04-22T08:14:00Z,40.29,61.00
2026-04-22T08:15:00Z,40.29,61.86
2026-04-22T08:16:00Z,41.00,62.00
2026-04-22T08:17:00Z,41.00,62.00
