# event_ticker=KXATPCHALLENGERMATCH-26APR24SVRCRE
# final_score=6-3 6-1
# match_winner=Dalibor Svrcina
# fav_player=Dalibor Svrcina
# dog_player=Cezar (2001) Cretu
# kalshi_date=2026-04-24
timestamp,Dalibor Svrcina,Cezar (2001) Cretu
2026-04-23T22:00:00Z,69.00,
2026-04-23T22:29:00Z,69.00,33.00
2026-04-23T22:31:00Z,71.00,33.00
2026-04-23T23:25:00Z,71.00,33.00
2026-04-23T23:41:00Z,70.00,33.00
2026-04-23T23:49:00Z,71.00,33.00
2026-04-24T00:31:00Z,71.00,32.00
2026-04-24T00:44:00Z,71.00,31.00
2026-04-24T00:48:00Z,71.00,31.00
2026-04-24T02:16:00Z,71.00,31.00
2026-04-24T02:20:00Z,71.00,31.00
2026-04-24T02:26:00Z,71.00,31.00
2026-04-24T02:27:00Z,70.00,31.00
2026-04-24T02:28:00Z,71.00,31.00
2026-04-24T02:29:00Z,71.00,31.00
2026-04-24T02:36:00Z,71.00,31.00
2026-04-24T03:08:00Z,71.00,31.00
2026-04-24T03:52:00Z,71.00,31.00
2026-04-24T04:14:00Z,74.00,31.00
2026-04-24T04:15:00Z,74.00,29.08
2026-04-24T04:23:00Z,74.00,29.08
2026-04-24T04:27:00Z,74.00,27.00
2026-04-24T04:35:00Z,73.00,27.00
2026-04-24T04:36:00Z,74.00,27.00
2026-04-24T04:40:00Z,74.00,27.00
2026-04-24T04:44:00Z,74.00,28.00
2026-04-24T05:01:00Z,74.00,28.00
2026-04-24T05:09:00Z,74.00,28.00
2026-04-24T05:31:00Z,74.00,28.00
2026-04-24T05:37:00Z,74.00,28.00
2026-04-24T05:51:00Z,74.00,28.00
2026-04-24T05:52:00Z,74.00,28.00
2026-04-24T05:58:00Z,74.00,28.00
2026-04-24T06:01:00Z,74.00,26.00
2026-04-24T06:10:00Z,74.00,26.00
2026-04-24T06:11:00Z,74.00,26.00
2026-04-24T07:08:00Z,74.00,28.00
2026-04-24T08:11:00Z,74.00,27.00
2026-04-24T08:27:00Z,74.00,27.00
2026-04-24T08:41:00Z,74.00,28.00
2026-04-24T08:50:00Z,74.00,28.00
2026-04-24T09:04:00Z,74.00,28.00
2026-04-24T09:12:00Z,74.00,28.00
2026-04-24T09:29:00Z,74.00,28.00
2026-04-24T09:30:00Z,72.05,28.54
2026-04-24T09:31:00Z,72.05,27.00
2026-04-24T09:34:00Z,74.00,27.00
2026-04-24T09:35:00Z,74.00,29.63
2026-04-24T09:38:00Z,74.00,29.00
2026-04-24T09:39:00Z,74.00,29.00
2026-04-24T09:40:00Z,74.00,29.00
2026-04-24T09:41:00Z,74.00,27.00
2026-04-24T09:42:00Z,76.78,24.26
2026-04-24T09:43:00Z,76.78,21.28
2026-04-24T09:44:00Z,80.00,19.00
2026-04-24T09:45:00Z,80.00,18.00
2026-04-24T09:49:00Z,85.00,16.00
2026-04-24T09:50:00Z,84.00,16.69
2026-04-24T09:51:00Z,85.79,16.69
2026-04-24T09:52:00Z,85.79,12.00
2026-04-24T09:54:00Z,89.00,11.80
2026-04-24T09:57:00Z,87.95,13.55
2026-04-24T09:58:00Z,90.00,13.55
2026-04-24T09:59:00Z,90.00,10.00
2026-04-24T10:00:00Z,90.00,10.00
2026-04-24T10:01:00Z,92.00,8.35
2026-04-24T10:02:00Z,92.00,8.00
2026-04-24T10:03:00Z,92.00,8.96
2026-04-24T10:04:00Z,93.00,8.96
2026-04-24T10:05:00Z,93.00,8.96
2026-04-24T10:06:00Z,93.00,7.45
2026-04-24T10:07:00Z,93.00,9.00
2026-04-24T10:08:00Z,93.00,9.00
2026-04-24T10:10:00Z,93.00,10.00
2026-04-24T10:12:00Z,90.00,11.00
2026-04-24T10:13:00Z,89.11,11.00
2026-04-24T10:14:00Z,86.00,12.90
2026-04-24T10:15:00Z,86.00,16.00
2026-04-24T10:16:00Z,83.00,18.00
2026-04-24T10:17:00Z,82.29,18.08
2026-04-24T10:18:00Z,82.29,16.00
2026-04-24T10:19:00Z,87.00,16.00
2026-04-24T10:20:00Z,87.01,16.00
2026-04-24T10:23:00Z,87.83,16.00
2026-04-24T10:24:00Z,91.15,9.60
2026-04-24T10:26:00Z,92.00,9.00
2026-04-24T10:27:00Z,93.00,8.96
2026-04-24T10:28:00Z,95.89,4.84
2026-04-24T10:29:00Z,98.00,3.95
2026-04-24T10:30:00Z,98.00,2.41
2026-04-24T10:31:00Z,98.00,2.41
2026-04-24T10:32:00Z,98.00,2.02
2026-04-24T10:33:00Z,98.00,3.73
2026-04-24T10:34:00Z,98.88,1.08
2026-04-24T10:35:00Z,97.00,2.86
2026-04-24T10:36:00Z,97.00,2.86
2026-04-24T10:38:00Z,98.60,2.86
2026-04-24T10:39:00Z,98.99,2.86
2026-04-24T10:40:00Z,98.96,2.86
2026-04-24T10:42:00Z,98.96,1.00
2026-04-24T10:43:00Z,99.00,1.00
2026-04-24T10:49:00Z,99.00,1.00
