# event_ticker=KXATPCHALLENGERMATCH-26APR28OMAYEV
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Denis Yevseyev
# fav_player=Amir Omarkhanov
# dog_player=Denis Yevseyev
# kalshi_date=2026-04-28
timestamp,Amir Omarkhanov,Denis Yevseyev
2026-04-27T20:24:00Z,44.00,
2026-04-27T21:03:00Z,44.00,56.00
2026-04-27T21:05:00Z,44.00,59.00
2026-04-27T21:06:00Z,44.00,59.00
2026-04-27T21:11:00Z,44.00,60.00
2026-04-27T21:37:00Z,44.00,62.00
2026-04-27T22:18:00Z,44.00,62.00
2026-04-27T22:24:00Z,44.00,65.75
2026-04-27T23:31:00Z,44.00,65.00
2026-04-28T00:21:00Z,44.00,64.00
2026-04-28T01:43:00Z,44.00,63.00
2026-04-28T02:42:00Z,44.00,64.00
2026-04-28T03:12:00Z,44.00,64.00
2026-04-28T03:43:00Z,44.00,64.00
2026-04-28T03:59:00Z,44.00,64.82
2026-04-28T04:00:00Z,44.00,65.00
2026-04-28T04:18:00Z,44.00,65.00
2026-04-28T05:19:00Z,44.00,65.00
2026-04-28T05:26:00Z,44.00,65.00
2026-04-28T05:28:00Z,44.00,65.00
2026-04-28T05:31:00Z,44.00,65.00
2026-04-28T05:58:00Z,37.00,65.00
2026-04-28T06:02:00Z,37.00,65.00
2026-04-28T06:09:00Z,37.00,65.00
2026-04-28T06:10:00Z,37.00,65.00
2026-04-28T06:13:00Z,37.00,65.16
2026-04-28T06:14:00Z,37.00,65.00
2026-04-28T06:23:00Z,37.00,65.00
2026-04-28T06:27:00Z,37.00,65.00
2026-04-28T06:29:00Z,37.00,65.00
2026-04-28T06:31:00Z,37.96,65.00
2026-04-28T06:46:00Z,37.96,66.00
2026-04-28T06:58:00Z,37.96,65.00
2026-04-28T07:04:00Z,37.96,65.00
2026-04-28T07:05:00Z,38.00,65.00
2026-04-28T07:06:00Z,35.00,65.00
2026-04-28T07:07:00Z,35.00,65.00
2026-04-28T07:08:00Z,35.00,65.00
2026-04-28T07:11:00Z,37.00,65.00
2026-04-28T07:12:00Z,37.95,65.00
2026-04-28T07:13:00Z,37.95,64.64
2026-04-28T07:14:00Z,37.95,64.59
2026-04-28T07:15:00Z,36.58,65.00
2026-04-28T07:16:00Z,38.94,63.10
2026-04-28T07:17:00Z,34.38,65.41
2026-04-28T07:18:00Z,34.00,67.38
2026-04-28T07:19:00Z,34.00,70.63
2026-04-28T07:20:00Z,29.97,70.00
2026-04-28T07:21:00Z,25.75,75.30
2026-04-28T07:22:00Z,25.75,79.68
2026-04-28T07:23:00Z,25.75,80.79
2026-04-28T07:24:00Z,21.00,80.79
2026-04-28T07:25:00Z,24.99,78.12
2026-04-28T07:26:00Z,26.98,78.12
2026-04-28T07:27:00Z,25.00,75.00
2026-04-28T07:28:00Z,25.00,79.00
2026-04-28T07:30:00Z,22.00,79.00
2026-04-28T07:31:00Z,22.00,78.00
2026-04-28T07:32:00Z,22.00,77.00
2026-04-28T07:33:00Z,22.00,77.00
2026-04-28T07:35:00Z,24.00,77.00
2026-04-28T07:36:00Z,24.00,78.00
2026-04-28T07:38:00Z,23.00,78.98
2026-04-28T07:39:00Z,20.00,83.40
2026-04-28T07:40:00Z,17.98,82.00
2026-04-28T07:41:00Z,19.00,82.83
2026-04-28T07:42:00Z,21.00,82.83
2026-04-28T07:43:00Z,21.03,78.12
2026-04-28T07:44:00Z,22.00,79.00
2026-04-28T07:45:00Z,24.89,75.06
2026-04-28T07:46:00Z,24.12,76.22
2026-04-28T07:47:00Z,20.39,78.02
2026-04-28T07:48:00Z,20.39,80.00
2026-04-28T07:49:00Z,19.30,81.00
2026-04-28T07:50:00Z,22.78,77.02
2026-04-28T07:51:00Z,23.83,79.90
2026-04-28T07:52:00Z,19.42,78.02
2026-04-28T07:53:00Z,21.00,80.04
2026-04-28T07:54:00Z,20.98,81.00
2026-04-28T07:56:00Z,20.98,81.00
2026-04-28T07:57:00Z,18.54,81.00
2026-04-28T07:58:00Z,22.00,80.82
2026-04-28T07:59:00Z,21.64,80.64
2026-04-28T08:01:00Z,18.00,81.00
2026-04-28T08:02:00Z,18.22,83.08
2026-04-28T08:03:00Z,19.50,83.08
2026-04-28T08:04:00Z,13.43,88.74
2026-04-28T08:05:00Z,10.85,90.00
2026-04-28T08:06:00Z,10.85,92.38
2026-04-28T08:07:00Z,10.85,92.57
2026-04-28T08:08:00Z,8.29,92.57
2026-04-28T08:09:00Z,5.29,92.57
2026-04-28T08:10:00Z,7.21,92.86
2026-04-28T08:11:00Z,10.00,90.00
2026-04-28T08:12:00Z,10.00,91.00
2026-04-28T08:13:00Z,11.15,88.89
2026-04-28T08:14:00Z,12.93,90.00
2026-04-28T08:15:00Z,12.93,90.00
2026-04-28T08:16:00Z,10.21,89.00
2026-04-28T08:17:00Z,5.30,93.83
2026-04-28T08:18:00Z,6.07,94.90
2026-04-28T08:19:00Z,8.89,92.00
2026-04-28T08:20:00Z,3.50,95.64
2026-04-28T08:21:00Z,2.00,97.76
2026-04-28T08:22:00Z,1.42,98.00
2026-04-28T08:23:00Z,1.42,98.91
2026-04-28T08:24:00Z,1.42,98.82
2026-04-28T08:25:00Z,1.00,98.82
2026-04-28T08:26:00Z,1.00,98.82
2026-04-28T08:27:00Z,1.00,99.00
2026-04-28T08:28:00Z,1.00,99.00
2026-04-28T08:29:00Z,1.43,99.00
2026-04-28T08:31:00Z,2.00,99.00
2026-04-28T08:33:00Z,1.00,99.00
2026-04-28T08:35:00Z,1.00,99.00
