# event_ticker=KXATPCHALLENGERMATCH-26FEB25SAIDIA
# final_score=6-4 6-2
# match_winner=Facundo Diaz Acosta
# fav_player=Facundo Diaz Acosta
# dog_player=Nikolas Sanchez Izquierdo
# kalshi_date=2026-02-25
timestamp,Facundo Diaz Acosta,Nikolas Sanchez Izquierdo
2026-02-25T03:34:00Z,77.00,
2026-02-25T04:16:00Z,78.00,
2026-02-25T04:57:00Z,78.00,23.00
2026-02-25T05:08:00Z,78.00,28.96
2026-02-25T05:30:00Z,78.00,35.00
2026-02-25T06:00:00Z,78.00,23.00
2026-02-25T06:23:00Z,78.00,28.00
2026-02-25T06:35:00Z,71.15,28.00
2026-02-25T06:57:00Z,71.15,23.00
2026-02-25T10:43:00Z,78.00,23.00
2026-02-25T11:16:00Z,79.00,23.00
2026-02-25T12:10:00Z,79.00,28.00
2026-02-25T12:30:00Z,79.00,28.00
2026-02-25T12:31:00Z,79.00,28.00
2026-02-25T12:44:00Z,79.00,28.00
2026-02-25T12:45:00Z,79.00,28.00
2026-02-25T13:08:00Z,79.00,26.00
2026-02-25T13:24:00Z,79.00,26.00
2026-02-25T13:25:00Z,79.00,26.00
2026-02-25T13:26:00Z,79.00,26.00
2026-02-25T13:29:00Z,79.00,26.00
2026-02-25T13:32:00Z,79.00,26.00
2026-02-25T13:35:00Z,79.00,26.00
2026-02-25T13:36:00Z,79.00,26.42
2026-02-25T13:37:00Z,78.00,26.00
2026-02-25T13:38:00Z,77.00,25.00
2026-02-25T13:39:00Z,77.00,25.66
2026-02-25T13:40:00Z,77.00,26.86
2026-02-25T13:41:00Z,78.42,23.83
2026-02-25T13:42:00Z,78.93,20.00
2026-02-25T13:43:00Z,80.06,21.64
2026-02-25T13:44:00Z,80.34,24.99
2026-02-25T13:45:00Z,81.36,23.75
2026-02-25T13:46:00Z,77.09,25.37
2026-02-25T13:47:00Z,84.00,22.14
2026-02-25T13:48:00Z,85.87,17.19
2026-02-25T13:49:00Z,87.10,19.01
2026-02-25T13:50:00Z,87.86,19.01
2026-02-25T13:51:00Z,91.48,11.37
2026-02-25T13:52:00Z,91.00,10.00
2026-02-25T13:53:00Z,91.02,13.11
2026-02-25T13:54:00Z,86.68,10.00
2026-02-25T13:55:00Z,89.02,16.00
2026-02-25T13:56:00Z,88.00,14.58
2026-02-25T13:57:00Z,89.93,13.00
2026-02-25T13:58:00Z,89.99,12.00
2026-02-25T13:59:00Z,89.99,14.58
2026-02-25T14:00:00Z,89.99,12.12
2026-02-25T14:01:00Z,90.00,11.40
2026-02-25T14:02:00Z,90.00,12.08
2026-02-25T14:03:00Z,88.02,14.00
