# event_ticker=KXATPCHALLENGERMATCH-26JUN01ALKAZK
# final_score=4-6 6-3 6-2
# match_winner=Arda Azkara
# fav_player=Arda Azkara
# dog_player=Mert Alkaya
# kalshi_date=2026-06-01
timestamp,Mert Alkaya,Arda Azkara
2026-06-01T01:21:00Z,75.00,
2026-06-01T02:21:00Z,75.00,25.00
2026-06-01T02:42:00Z,75.00,25.00
2026-06-01T02:59:00Z,75.00,25.00
2026-06-01T03:06:00Z,75.00,25.00
2026-06-01T04:39:00Z,75.00,25.00
2026-06-01T04:49:00Z,75.00,25.00
2026-06-01T05:13:00Z,75.00,25.00
2026-06-01T06:28:00Z,75.00,25.00
2026-06-01T07:23:00Z,75.00,25.00
2026-06-01T10:06:00Z,75.00,25.00
2026-06-01T10:40:00Z,75.00,25.00
2026-06-01T12:28:00Z,76.00,25.00
2026-06-01T12:30:00Z,76.00,24.00
2026-06-01T12:31:00Z,77.00,23.96
2026-06-01T12:32:00Z,80.00,24.00
2026-06-01T12:33:00Z,81.00,22.99
2026-06-01T12:34:00Z,81.46,19.24
2026-06-01T12:35:00Z,82.92,18.00
2026-06-01T12:36:00Z,83.09,16.00
2026-06-01T12:37:00Z,83.55,16.00
2026-06-01T12:38:00Z,83.95,19.00
2026-06-01T12:39:00Z,80.50,20.00
2026-06-01T12:40:00Z,82.05,20.00
2026-06-01T12:41:00Z,83.75,16.00
2026-06-01T12:42:00Z,87.61,13.68
2026-06-01T12:43:00Z,89.00,13.00
2026-06-01T12:44:00Z,82.50,14.05
2026-06-01T12:45:00Z,82.50,17.89
2026-06-01T12:46:00Z,82.41,18.00
2026-06-01T12:47:00Z,83.85,17.00
2026-06-01T12:48:00Z,84.00,17.00
2026-06-01T12:49:00Z,82.49,17.07
2026-06-01T12:50:00Z,81.00,19.00
2026-06-01T12:51:00Z,81.00,20.00
2026-06-01T12:52:00Z,82.28,20.00
2026-06-01T12:53:00Z,83.79,20.00
2026-06-01T12:54:00Z,82.00,18.17
2026-06-01T12:55:00Z,81.00,18.17
2026-06-01T12:56:00Z,81.00,19.49
2026-06-01T12:57:00Z,81.00,20.00
2026-06-01T12:58:00Z,81.99,20.33
2026-06-01T12:59:00Z,82.98,19.00
2026-06-01T13:00:00Z,86.00,16.00
2026-06-01T13:01:00Z,83.00,17.00
2026-06-01T13:02:00Z,85.00,16.00
2026-06-01T13:03:00Z,83.00,18.00
2026-06-01T13:04:00Z,83.38,17.00
2026-06-01T13:05:00Z,84.03,17.00
2026-06-01T13:06:00Z,84.03,16.00
2026-06-01T13:07:00Z,87.33,16.00
2026-06-01T13:08:00Z,89.00,12.26
2026-06-01T13:09:00Z,86.75,15.00
2026-06-01T13:10:00Z,84.06,16.00
2026-06-01T13:11:00Z,84.59,16.00
2026-06-01T13:12:00Z,82.97,18.55
2026-06-01T13:13:00Z,80.00,21.62
2026-06-01T13:14:00Z,77.45,25.52
2026-06-01T13:15:00Z,71.97,29.49
2026-06-01T13:16:00Z,73.00,28.42
2026-06-01T13:17:00Z,80.44,23.28
2026-06-01T13:18:00Z,75.60,22.99
2026-06-01T13:19:00Z,70.41,30.34
2026-06-01T13:20:00Z,71.00,32.00
2026-06-01T13:21:00Z,71.00,28.00
2026-06-01T13:22:00Z,70.96,29.60
2026-06-01T13:23:00Z,70.00,33.04
2026-06-01T13:24:00Z,67.00,33.04
2026-06-01T13:25:00Z,67.00,34.00
2026-06-01T13:26:00Z,66.00,33.09
2026-06-01T13:27:00Z,66.01,34.16
2026-06-01T13:28:00Z,68.05,35.00
2026-06-01T13:29:00Z,63.68,35.65
2026-06-01T13:30:00Z,62.97,38.00
2026-06-01T13:31:00Z,63.00,38.00
2026-06-01T13:32:00Z,61.83,40.00
2026-06-01T13:33:00Z,61.00,40.36
2026-06-01T13:34:00Z,64.00,38.89
2026-06-01T13:35:00Z,62.09,39.80
2026-06-01T13:36:00Z,60.10,40.00
2026-06-01T13:37:00Z,60.36,38.48
2026-06-01T13:38:00Z,59.00,38.97
2026-06-01T13:39:00Z,60.00,40.00
2026-06-01T13:40:00Z,59.60,42.93
2026-06-01T13:41:00Z,57.58,48.95
2026-06-01T13:42:00Z,61.60,42.66
2026-06-01T13:43:00Z,55.07,45.41
2026-06-01T13:44:00Z,44.22,57.04
2026-06-01T13:45:00Z,30.78,68.44
2026-06-01T13:46:00Z,25.43,73.63
2026-06-01T13:47:00Z,27.08,75.40
2026-06-01T13:48:00Z,30.74,70.19
2026-06-01T13:49:00Z,30.87,70.06
2026-06-01T13:50:00Z,30.51,72.17
2026-06-01T13:51:00Z,39.00,60.72
2026-06-01T13:52:00Z,40.36,60.65
2026-06-01T13:53:00Z,25.88,74.15
2026-06-01T13:54:00Z,22.86,80.43
2026-06-01T13:55:00Z,25.00,77.39
2026-06-01T13:56:00Z,27.96,74.00
2026-06-01T13:57:00Z,26.39,74.00
2026-06-01T13:58:00Z,34.71,70.21
2026-06-01T13:59:00Z,27.06,73.24
2026-06-01T14:00:00Z,20.34,79.14
2026-06-01T14:01:00Z,15.42,84.17
2026-06-01T14:02:00Z,15.78,83.74
2026-06-01T14:03:00Z,3.95,93.58
2026-06-01T14:04:00Z,3.13,96.85
2026-06-01T14:05:00Z,1.03,98.98
2026-06-01T14:06:00Z,1.00,99.00
2026-06-01T14:07:00Z,1.00,99.00
