# event_ticker=KXATPCHALLENGERMATCH-26JUN02DAMDZU
# final_score=6-7(2) 6-4 7-5
# score_resolution=7-6 4-6 5-7
# match_winner=Damir Dzumhur
# fav_player=Miguel Damas
# dog_player=Damir Dzumhur
# kalshi_date=2026-06-02
timestamp,Miguel Damas,Damir Dzumhur
2026-06-01T22:16:00Z,,75.00
2026-06-01T23:23:00Z,,75.00
2026-06-01T23:47:00Z,,75.00
2026-06-02T01:48:00Z,,75.00
2026-06-02T01:49:00Z,,75.00
2026-06-02T02:32:00Z,,75.00
2026-06-02T03:02:00Z,26.41,75.00
2026-06-02T03:27:00Z,26.41,75.00
2026-06-02T03:28:00Z,26.41,75.00
2026-06-02T03:33:00Z,26.41,75.00
2026-06-02T04:27:00Z,26.41,75.00
2026-06-02T04:38:00Z,26.41,75.36
2026-06-02T05:06:00Z,26.41,76.00
2026-06-02T05:19:00Z,26.41,76.00
2026-06-02T05:37:00Z,27.00,76.00
2026-06-02T05:44:00Z,26.00,76.00
2026-06-02T06:14:00Z,26.00,75.00
2026-06-02T06:53:00Z,26.00,75.49
2026-06-02T07:10:00Z,26.00,76.00
2026-06-02T08:11:00Z,26.00,76.00
2026-06-02T08:13:00Z,26.00,75.00
2026-06-02T08:14:00Z,26.00,75.00
2026-06-02T08:17:00Z,26.00,75.00
2026-06-02T08:21:00Z,26.00,75.00
2026-06-02T08:38:00Z,26.00,75.00
2026-06-02T08:39:00Z,26.00,75.00
2026-06-02T08:40:00Z,26.00,75.00
2026-06-02T08:42:00Z,25.15,75.00
2026-06-02T08:43:00Z,25.00,73.33
2026-06-02T08:44:00Z,29.00,73.33
2026-06-02T08:45:00Z,26.00,73.33
2026-06-02T08:46:00Z,25.00,75.00
2026-06-02T08:47:00Z,23.00,76.00
2026-06-02T08:48:00Z,24.00,76.00
2026-06-02T08:49:00Z,20.66,77.05
2026-06-02T08:50:00Z,19.00,81.00
2026-06-02T08:51:00Z,18.00,80.49
2026-06-02T08:52:00Z,19.00,83.62
2026-06-02T08:53:00Z,16.00,84.06
2026-06-02T08:54:00Z,19.00,84.06
2026-06-02T08:55:00Z,19.00,84.06
2026-06-02T08:56:00Z,21.00,80.00
2026-06-02T08:57:00Z,21.00,80.00
2026-06-02T08:59:00Z,21.00,85.00
2026-06-02T09:01:00Z,17.00,85.00
2026-06-02T09:02:00Z,18.00,81.00
2026-06-02T09:03:00Z,20.00,80.00
2026-06-02T09:04:00Z,20.00,80.00
2026-06-02T09:05:00Z,21.36,81.27
2026-06-02T09:06:00Z,21.36,81.00
2026-06-02T09:07:00Z,22.93,77.79
2026-06-02T09:08:00Z,24.31,76.43
2026-06-02T09:09:00Z,30.88,70.79
2026-06-02T09:10:00Z,34.24,68.67
2026-06-02T09:11:00Z,31.00,68.00
2026-06-02T09:12:00Z,27.19,70.00
2026-06-02T09:13:00Z,30.73,71.00
2026-06-02T09:14:00Z,33.07,67.20
2026-06-02T09:15:00Z,31.00,73.00
