# event_ticker=KXATPCHALLENGERMATCH-26MAR03GULMRV
# final_score=4-6 7-6(6) 6-1
# score_resolution=4-6 7-6 6-1
# match_winner=Maxim Mrva
# fav_player=Maxim Mrva
# dog_player=Svyatoslav Gulin
# kalshi_date=2026-03-03
timestamp,Maxim Mrva,Svyatoslav Gulin
2026-03-03T11:35:00Z,92.00,
2026-03-03T11:36:00Z,65.00,
2026-03-03T12:56:00Z,65.00,38.18
2026-03-03T12:57:00Z,70.00,39.84
2026-03-03T12:58:00Z,71.00,34.00
2026-03-03T12:59:00Z,71.00,29.00
2026-03-03T13:00:00Z,71.00,32.03
2026-03-03T13:01:00Z,82.00,27.72
2026-03-03T13:02:00Z,82.00,30.05
2026-03-03T13:03:00Z,73.59,33.93
2026-03-03T13:04:00Z,75.86,19.53
2026-03-03T13:05:00Z,85.00,17.68
2026-03-03T13:06:00Z,81.33,20.91
2026-03-03T13:07:00Z,86.19,17.83
2026-03-03T13:08:00Z,86.00,14.63
2026-03-03T13:09:00Z,85.00,17.06
2026-03-03T13:10:00Z,85.00,17.06
2026-03-03T13:11:00Z,85.04,18.04
2026-03-03T13:12:00Z,80.00,23.54
2026-03-03T13:13:00Z,76.00,29.40
2026-03-03T13:14:00Z,77.00,27.66
2026-03-03T13:15:00Z,74.85,30.84
2026-03-03T13:16:00Z,72.14,30.33
2026-03-03T13:17:00Z,76.00,26.55
2026-03-03T13:18:00Z,76.00,27.45
2026-03-03T13:19:00Z,71.02,33.36
2026-03-03T13:20:00Z,72.17,30.20
2026-03-03T13:21:00Z,65.12,38.29
2026-03-03T13:22:00Z,56.59,45.54
2026-03-03T13:23:00Z,53.09,53.85
2026-03-03T13:24:00Z,51.00,55.26
2026-03-03T13:25:00Z,43.52,61.78
2026-03-03T13:26:00Z,38.10,64.71
2026-03-03T13:27:00Z,39.52,63.02
2026-03-03T13:28:00Z,42.00,61.09
2026-03-03T13:29:00Z,42.17,60.00
2026-03-03T13:30:00Z,46.22,61.97
2026-03-03T13:31:00Z,42.87,61.91
2026-03-03T13:32:00Z,33.00,64.88
2026-03-03T13:33:00Z,37.00,67.52
2026-03-03T13:34:00Z,39.56,68.67
2026-03-03T13:35:00Z,37.00,64.64
2026-03-03T13:36:00Z,37.00,66.00
2026-03-03T13:37:00Z,37.09,65.71
2026-03-03T13:38:00Z,41.82,61.75
2026-03-03T13:39:00Z,41.47,63.48
2026-03-03T13:40:00Z,43.26,64.03
2026-03-03T13:41:00Z,40.00,63.85
2026-03-03T13:42:00Z,38.00,65.45
2026-03-03T13:43:00Z,41.44,71.98
2026-03-03T13:44:00Z,28.55,73.52
2026-03-03T13:45:00Z,30.98,71.73
2026-03-03T13:46:00Z,30.03,72.52
2026-03-03T13:47:00Z,36.28,69.10
2026-03-03T13:48:00Z,36.17,63.09
2026-03-03T13:49:00Z,35.69,64.45
2026-03-03T13:50:00Z,35.09,66.92
2026-03-03T13:51:00Z,32.53,68.83
2026-03-03T13:52:00Z,35.10,67.30
2026-03-03T13:53:00Z,38.29,66.64
2026-03-03T13:54:00Z,32.00,69.58
2026-03-03T13:55:00Z,34.32,68.65
2026-03-03T13:56:00Z,41.02,62.99
2026-03-03T13:57:00Z,39.00,60.43
2026-03-03T13:58:00Z,39.00,64.20
2026-03-03T13:59:00Z,34.02,64.19
2026-03-03T14:00:00Z,30.43,71.16
2026-03-03T14:01:00Z,29.48,76.06
2026-03-03T14:02:00Z,20.41,79.63
2026-03-03T14:03:00Z,28.19,73.96
