# event_ticker=KXATPCHALLENGERMATCH-26MAR10MERGIR
# final_score=6-0 6-1
# score_resolution=0-6 1-6
# match_winner=Marcos Giron
# fav_player=Daniel Merida
# dog_player=Marcos Giron
# kalshi_date=2026-03-10
timestamp,Daniel Merida,Marcos Giron
2026-03-10T14:20:00Z,,71.00
2026-03-10T14:31:00Z,,71.00
2026-03-10T15:45:00Z,,71.00
2026-03-10T16:18:00Z,32.00,71.00
2026-03-10T16:25:00Z,32.00,70.00
2026-03-10T22:01:00Z,32.00,72.00
2026-03-10T22:09:00Z,30.00,72.00
2026-03-10T22:33:00Z,30.00,72.00
2026-03-10T22:45:00Z,30.00,72.00
2026-03-10T22:52:00Z,30.00,71.00
2026-03-10T23:11:00Z,30.00,71.00
2026-03-10T23:55:00Z,30.00,71.00
2026-03-11T00:13:00Z,30.00,71.83
2026-03-11T00:15:00Z,30.00,72.00
2026-03-11T00:18:00Z,30.00,72.00
2026-03-11T00:22:00Z,30.00,72.00
2026-03-11T00:24:00Z,30.00,72.00
2026-03-11T00:27:00Z,30.00,72.00
2026-03-11T00:30:00Z,30.00,72.00
2026-03-11T00:34:00Z,30.00,72.00
2026-03-11T00:39:00Z,30.00,72.00
2026-03-11T00:53:00Z,30.00,72.00
2026-03-11T01:09:00Z,30.00,71.00
2026-03-11T01:10:00Z,28.00,71.98
2026-03-11T01:11:00Z,28.00,73.00
2026-03-11T01:16:00Z,28.00,72.00
2026-03-11T01:24:00Z,28.00,73.00
2026-03-11T01:26:00Z,28.00,73.00
2026-03-11T01:30:00Z,28.00,73.00
2026-03-11T01:36:00Z,28.00,73.00
2026-03-11T01:42:00Z,28.00,73.00
2026-03-11T01:46:00Z,28.00,73.00
2026-03-11T01:53:00Z,28.00,73.00
2026-03-11T01:54:00Z,28.00,73.00
2026-03-11T01:57:00Z,29.00,73.00
2026-03-11T01:59:00Z,29.00,73.00
2026-03-11T02:00:00Z,29.00,73.00
2026-03-11T02:01:00Z,29.00,73.44
2026-03-11T02:02:00Z,29.00,73.17
2026-03-11T02:03:00Z,27.00,73.98
2026-03-11T02:04:00Z,30.00,74.73
2026-03-11T02:05:00Z,27.00,78.53
2026-03-11T02:06:00Z,22.64,77.21
2026-03-11T02:07:00Z,20.50,81.00
2026-03-11T02:09:00Z,20.50,83.38
2026-03-11T02:10:00Z,15.16,83.00
2026-03-11T02:12:00Z,16.18,87.39
2026-03-11T02:14:00Z,11.00,87.39
2026-03-11T02:15:00Z,10.00,88.00
2026-03-11T02:16:00Z,10.00,87.54
2026-03-11T02:17:00Z,12.00,89.16
2026-03-11T02:18:00Z,10.00,90.97
2026-03-11T02:19:00Z,9.00,91.02
2026-03-11T02:20:00Z,11.00,91.02
2026-03-11T02:21:00Z,8.25,92.00
2026-03-11T02:22:00Z,8.25,92.93
2026-03-11T02:23:00Z,6.96,93.00
2026-03-11T02:24:00Z,7.79,93.00
2026-03-11T02:25:00Z,7.00,89.64
2026-03-11T02:26:00Z,8.11,92.71
2026-03-11T02:27:00Z,4.86,95.90
2026-03-11T02:28:00Z,4.55,96.89
2026-03-11T02:29:00Z,1.89,96.93
2026-03-11T02:30:00Z,6.00,95.75
2026-03-11T02:31:00Z,2.10,97.98
2026-03-11T02:32:00Z,5.53,93.12
2026-03-11T02:33:00Z,5.00,95.90
2026-03-11T02:34:00Z,8.38,95.88
2026-03-11T02:35:00Z,8.38,97.42
2026-03-11T02:36:00Z,3.46,98.53
2026-03-11T02:37:00Z,1.78,99.00
2026-03-11T02:38:00Z,1.00,99.00
2026-03-11T02:39:00Z,1.00,99.00
2026-03-11T02:41:00Z,1.00,99.00
2026-03-11T02:43:00Z,1.00,99.00
2026-03-11T02:44:00Z,1.00,99.00
2026-03-11T02:45:00Z,1.00,99.00
2026-03-11T02:46:00Z,1.00,99.00
2026-03-11T02:47:00Z,1.00,99.00
