# event_ticker=KXATPCHALLENGERMATCH-26MAR23SAMJUB
# final_score=7-5 6-0
# match_winner=Paul Jubb
# fav_player=Paul Jubb
# dog_player=Kasidit Samrej
# kalshi_date=2026-03-23
timestamp,Paul Jubb,Kasidit Samrej
2026-03-23T13:23:00Z,68.00,
2026-03-23T14:34:00Z,69.00,
2026-03-23T14:41:00Z,70.00,
2026-03-23T14:49:00Z,70.00,33.00
2026-03-23T16:37:00Z,70.00,33.00
2026-03-23T17:07:00Z,70.00,33.00
2026-03-23T18:26:00Z,71.00,33.00
2026-03-23T18:49:00Z,70.00,33.00
2026-03-23T19:33:00Z,69.00,33.00
2026-03-23T22:20:00Z,70.00,33.00
2026-03-23T22:22:00Z,70.00,32.00
2026-03-23T23:08:00Z,70.00,30.00
2026-03-23T23:16:00Z,70.00,32.00
2026-03-24T00:11:00Z,70.00,32.00
2026-03-24T00:30:00Z,71.00,32.00
2026-03-24T00:31:00Z,71.00,32.00
2026-03-24T00:34:00Z,71.00,32.00
2026-03-24T00:37:00Z,71.00,32.00
2026-03-24T00:48:00Z,71.00,29.00
2026-03-24T00:59:00Z,70.00,29.00
2026-03-24T01:01:00Z,71.00,29.00
2026-03-24T01:03:00Z,69.00,32.55
2026-03-24T01:05:00Z,71.00,32.55
2026-03-24T01:11:00Z,68.90,32.00
2026-03-24T01:12:00Z,68.90,38.43
2026-03-24T01:13:00Z,68.00,37.75
2026-03-24T01:16:00Z,68.21,37.75
2026-03-24T01:18:00Z,64.52,37.75
2026-03-24T01:19:00Z,64.00,37.75
2026-03-24T01:20:00Z,64.00,31.00
2026-03-24T01:24:00Z,76.00,31.00
2026-03-24T01:25:00Z,76.00,26.00
2026-03-24T01:26:00Z,68.35,28.00
2026-03-24T01:27:00Z,70.00,28.00
2026-03-24T01:28:00Z,70.00,36.00
2026-03-24T01:29:00Z,67.00,36.00
2026-03-24T01:30:00Z,67.00,32.58
2026-03-24T01:34:00Z,67.00,28.00
2026-03-24T01:35:00Z,67.00,26.00
2026-03-24T01:36:00Z,73.00,28.00
2026-03-24T01:37:00Z,76.00,22.62
2026-03-24T01:38:00Z,76.00,18.47
2026-03-24T01:39:00Z,85.00,16.00
2026-03-24T01:40:00Z,85.00,17.96
2026-03-24T01:41:00Z,81.65,20.47
2026-03-24T01:42:00Z,77.00,20.47
2026-03-24T01:43:00Z,77.00,26.94
2026-03-24T01:44:00Z,77.00,32.83
2026-03-24T01:46:00Z,77.00,34.00
2026-03-24T01:47:00Z,70.00,34.00
2026-03-24T01:48:00Z,68.00,36.00
2026-03-24T01:49:00Z,63.47,37.76
2026-03-24T01:50:00Z,63.80,38.87
2026-03-24T01:51:00Z,68.72,32.05
2026-03-24T01:52:00Z,69.00,32.05
2026-03-24T01:53:00Z,69.00,31.00
2026-03-24T01:54:00Z,70.00,24.00
2026-03-24T01:55:00Z,72.00,30.22
2026-03-24T01:56:00Z,72.00,29.00
2026-03-24T01:57:00Z,75.06,29.00
2026-03-24T01:58:00Z,77.26,21.12
2026-03-24T01:59:00Z,74.50,27.00
2026-03-24T02:00:00Z,74.29,23.67
2026-03-24T02:01:00Z,70.21,32.00
2026-03-24T02:02:00Z,66.02,37.53
2026-03-24T02:03:00Z,68.00,30.00
2026-03-24T02:04:00Z,74.00,26.68
2026-03-24T02:05:00Z,74.00,28.00
2026-03-24T02:06:00Z,77.68,23.54
2026-03-24T02:07:00Z,81.94,16.09
2026-03-24T02:08:00Z,89.00,10.35
2026-03-24T02:09:00Z,90.00,10.97
2026-03-24T02:10:00Z,90.00,10.54
2026-03-24T02:11:00Z,90.00,10.00
2026-03-24T02:12:00Z,91.00,9.95
2026-03-24T02:13:00Z,91.00,10.20
2026-03-24T02:14:00Z,92.90,4.23
2026-03-24T02:15:00Z,92.90,6.00
2026-03-24T02:16:00Z,94.37,5.21
2026-03-24T02:17:00Z,95.05,5.93
2026-03-24T02:18:00Z,97.00,2.81
2026-03-24T02:19:00Z,96.92,3.77
2026-03-24T02:20:00Z,97.31,3.40
2026-03-24T02:21:00Z,98.00,2.99
2026-03-24T02:22:00Z,97.01,2.89
2026-03-24T02:23:00Z,98.00,2.88
2026-03-24T02:24:00Z,98.00,3.00
2026-03-24T02:25:00Z,99.00,1.30
2026-03-24T02:26:00Z,99.00,2.00
2026-03-24T02:27:00Z,99.00,1.17
2026-03-24T02:29:00Z,99.00,2.00
2026-03-24T02:30:00Z,99.00,2.13
2026-03-24T02:31:00Z,99.00,2.67
2026-03-24T02:32:00Z,99.00,1.27
2026-03-24T02:33:00Z,99.00,2.36
2026-03-24T02:34:00Z,99.00,1.00
2026-03-24T02:36:00Z,99.00,1.00
