# event_ticker=KXATPCHALLENGERMATCH-26MAR23TULOVE
# final_score=7-5 7-6(3)
# score_resolution=7-5 7-6
# match_winner=Li Tu
# fav_player=Li Tu
# dog_player=Carl Emil Overbeck
# kalshi_date=2026-03-23
timestamp,Li Tu,Carl Emil Overbeck
2026-03-23T19:24:00Z,,45.00
2026-03-23T22:21:00Z,57.00,45.00
2026-03-23T23:10:00Z,57.00,45.00
2026-03-23T23:18:00Z,57.00,46.00
2026-03-24T00:55:00Z,57.00,46.00
2026-03-24T01:27:00Z,54.00,46.00
2026-03-24T01:33:00Z,54.00,47.46
2026-03-24T01:50:00Z,53.00,47.46
2026-03-24T02:25:00Z,53.00,49.00
2026-03-24T02:29:00Z,53.00,49.00
2026-03-24T02:30:00Z,53.00,49.00
2026-03-24T02:40:00Z,53.00,49.00
2026-03-24T02:51:00Z,53.00,49.00
2026-03-24T02:59:00Z,53.00,49.95
2026-03-24T03:00:00Z,53.00,50.00
2026-03-24T03:01:00Z,52.00,50.00
2026-03-24T03:09:00Z,53.00,50.00
2026-03-24T03:12:00Z,52.00,50.00
2026-03-24T03:14:00Z,53.00,50.00
2026-03-24T03:18:00Z,53.00,50.00
2026-03-24T03:24:00Z,52.00,50.00
2026-03-24T03:28:00Z,52.00,49.98
2026-03-24T03:29:00Z,53.00,49.98
2026-03-24T03:30:00Z,53.00,50.00
2026-03-24T03:31:00Z,53.00,50.00
2026-03-24T03:32:00Z,53.00,50.00
2026-03-24T03:35:00Z,53.00,49.00
2026-03-24T03:36:00Z,53.00,49.99
2026-03-24T03:37:00Z,53.47,49.99
2026-03-24T03:38:00Z,53.47,49.92
2026-03-24T03:40:00Z,52.50,50.00
2026-03-24T03:41:00Z,53.00,50.00
2026-03-24T03:42:00Z,52.00,50.00
2026-03-24T03:43:00Z,53.00,50.00
2026-03-24T03:44:00Z,53.00,50.14
2026-03-24T03:45:00Z,50.46,51.00
2026-03-24T03:46:00Z,49.00,51.00
2026-03-24T03:47:00Z,51.00,51.00
2026-03-24T03:48:00Z,51.00,51.00
2026-03-24T03:49:00Z,51.00,51.00
2026-03-24T03:50:00Z,51.00,51.00
2026-03-24T03:51:00Z,49.00,51.00
2026-03-24T03:52:00Z,49.00,50.00
2026-03-24T03:53:00Z,51.00,48.00
2026-03-24T03:54:00Z,51.57,47.00
2026-03-24T03:55:00Z,52.00,47.00
2026-03-24T03:56:00Z,52.00,47.00
2026-03-24T03:57:00Z,52.00,50.00
2026-03-24T03:58:00Z,52.00,50.00
2026-03-24T03:59:00Z,52.00,50.00
2026-03-24T04:00:00Z,52.00,50.00
2026-03-24T04:01:00Z,52.00,50.57
2026-03-24T04:02:00Z,52.00,50.06
2026-03-24T04:03:00Z,52.00,50.00
2026-03-24T04:05:00Z,52.00,50.00
2026-03-24T04:06:00Z,52.00,50.00
2026-03-24T04:09:00Z,52.00,50.00
2026-03-24T04:10:00Z,52.00,50.00
2026-03-24T04:11:00Z,52.00,50.00
2026-03-24T04:14:00Z,52.00,50.49
2026-03-24T04:15:00Z,52.00,50.00
2026-03-24T04:16:00Z,52.18,50.00
2026-03-24T04:17:00Z,52.84,50.06
2026-03-24T04:18:00Z,52.84,50.61
2026-03-24T04:19:00Z,52.00,50.68
2026-03-24T04:20:00Z,52.41,50.00
2026-03-24T04:21:00Z,52.41,50.00
2026-03-24T04:22:00Z,52.41,50.00
2026-03-24T04:23:00Z,52.00,50.00
2026-03-24T04:24:00Z,52.00,50.00
2026-03-24T04:25:00Z,52.00,50.00
2026-03-24T04:26:00Z,52.45,50.00
2026-03-24T04:27:00Z,52.35,50.00
2026-03-24T04:28:00Z,53.00,49.28
2026-03-24T04:29:00Z,53.00,50.00
2026-03-24T04:30:00Z,52.56,49.05
2026-03-24T04:31:00Z,54.03,45.29
2026-03-24T04:32:00Z,49.33,51.78
2026-03-24T04:33:00Z,48.11,54.75
2026-03-24T04:34:00Z,45.60,57.50
2026-03-24T04:35:00Z,36.28,63.58
2026-03-24T04:36:00Z,33.00,68.27
2026-03-24T04:37:00Z,33.02,67.97
2026-03-24T04:38:00Z,30.36,70.70
2026-03-24T04:39:00Z,30.00,71.00
2026-03-24T04:40:00Z,30.23,72.53
2026-03-24T04:41:00Z,31.05,70.84
2026-03-24T04:42:00Z,30.30,70.00
2026-03-24T04:43:00Z,33.51,68.03
2026-03-24T04:44:00Z,39.56,61.10
2026-03-24T04:45:00Z,48.89,52.85
2026-03-24T04:46:00Z,49.27,51.33
2026-03-24T04:47:00Z,44.41,58.60
2026-03-24T04:48:00Z,41.08,64.24
2026-03-24T04:49:00Z,40.59,62.63
2026-03-24T04:50:00Z,41.42,60.00
2026-03-24T04:51:00Z,48.72,53.29
2026-03-24T04:52:00Z,50.56,51.24
2026-03-24T04:53:00Z,50.77,51.78
2026-03-24T04:54:00Z,46.94,54.64
2026-03-24T04:55:00Z,44.99,55.96
