# event_ticker=KXATPCHALLENGERMATCH-26MAR23WONMEJ
# final_score=7-5 7-6(2)
# score_resolution=7-5 7-6
# match_winner=Nicolas Mejia
# fav_player=Nicolas Mejia
# dog_player=Coleman Wong
# kalshi_date=2026-03-23
timestamp,Nicolas Mejia,Coleman Wong
2026-03-23T09:46:00Z,29.00,
2026-03-23T10:31:00Z,29.00,73.00
2026-03-23T11:03:00Z,29.00,73.00
2026-03-23T13:05:00Z,29.00,73.81
2026-03-23T13:08:00Z,29.00,74.00
2026-03-23T13:22:00Z,29.00,74.00
2026-03-23T13:28:00Z,29.00,74.00
2026-03-23T13:43:00Z,29.00,74.00
2026-03-23T14:05:00Z,29.00,74.00
2026-03-23T14:22:00Z,29.00,72.00
2026-03-23T14:35:00Z,29.00,72.00
2026-03-23T14:39:00Z,29.00,72.00
2026-03-23T16:10:00Z,29.00,72.00
2026-03-23T17:00:00Z,30.00,72.00
2026-03-23T17:23:00Z,30.00,71.00
2026-03-23T17:25:00Z,30.00,70.00
2026-03-23T17:33:00Z,30.00,70.00
2026-03-23T17:38:00Z,30.00,70.00
2026-03-23T17:42:00Z,31.00,70.00
2026-03-23T18:30:00Z,31.00,69.00
2026-03-23T18:33:00Z,31.00,69.00
2026-03-23T19:03:00Z,31.00,69.00
2026-03-23T20:31:00Z,31.00,70.00
2026-03-23T20:55:00Z,30.00,70.00
2026-03-23T20:59:00Z,30.00,70.00
2026-03-23T21:00:00Z,30.00,71.00
2026-03-23T21:03:00Z,30.00,72.00
2026-03-23T21:04:00Z,30.00,72.00
2026-03-23T21:05:00Z,30.00,72.00
2026-03-23T21:06:00Z,30.00,72.00
2026-03-23T21:07:00Z,30.00,71.00
2026-03-23T21:08:00Z,30.00,72.00
2026-03-23T21:10:00Z,29.07,74.00
2026-03-23T21:11:00Z,27.01,74.04
2026-03-23T21:12:00Z,29.00,72.00
2026-03-23T21:13:00Z,26.12,73.88
2026-03-23T21:14:00Z,19.47,81.13
2026-03-23T21:15:00Z,16.42,83.00
2026-03-23T21:16:00Z,17.53,83.80
2026-03-23T21:17:00Z,18.65,82.16
2026-03-23T21:18:00Z,18.65,73.59
2026-03-23T21:19:00Z,33.92,73.59
2026-03-23T21:20:00Z,34.00,73.59
2026-03-23T21:21:00Z,35.00,66.00
2026-03-23T21:22:00Z,35.00,65.60
2026-03-23T21:23:00Z,34.00,67.92
2026-03-23T21:24:00Z,32.00,67.92
2026-03-23T21:25:00Z,27.02,73.00
2026-03-23T21:26:00Z,32.01,70.00
2026-03-23T21:27:00Z,35.78,70.00
2026-03-23T21:28:00Z,36.00,65.00
2026-03-23T21:29:00Z,36.94,65.00
2026-03-23T21:30:00Z,36.60,64.50
2026-03-23T21:31:00Z,36.64,64.00
2026-03-23T21:32:00Z,41.83,59.33
2026-03-23T21:33:00Z,41.83,54.23
2026-03-23T21:34:00Z,55.89,44.64
2026-03-23T21:35:00Z,59.56,45.04
2026-03-23T21:36:00Z,56.00,44.00
2026-03-23T21:37:00Z,53.88,47.99
2026-03-23T21:38:00Z,45.15,54.52
2026-03-23T21:39:00Z,37.31,63.86
2026-03-23T21:41:00Z,37.31,63.00
2026-03-23T21:42:00Z,42.61,60.71
2026-03-23T21:44:00Z,39.28,60.07
2026-03-23T21:45:00Z,38.62,62.88
2026-03-23T21:46:00Z,34.92,66.10
2026-03-23T21:47:00Z,38.42,63.13
2026-03-23T21:48:00Z,42.00,60.89
2026-03-23T21:49:00Z,42.35,60.42
2026-03-23T21:50:00Z,38.37,64.81
2026-03-23T21:51:00Z,34.46,66.98
2026-03-23T21:52:00Z,36.11,65.00
2026-03-23T21:53:00Z,41.65,60.24
2026-03-23T21:54:00Z,42.00,60.18
2026-03-23T21:55:00Z,44.08,56.78
2026-03-23T21:56:00Z,49.10,53.61
2026-03-23T21:57:00Z,51.58,49.35
2026-03-23T21:58:00Z,43.20,55.86
2026-03-23T21:59:00Z,61.89,38.33
2026-03-23T22:00:00Z,62.04,39.47
2026-03-23T22:01:00Z,62.13,40.02
2026-03-23T22:02:00Z,63.10,37.55
2026-03-23T22:03:00Z,64.79,37.38
