# event_ticker=KXATPCHALLENGERMATCH-26MAY04SINKLE
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Karan Singh
# fav_player=Matt Kleiman
# dog_player=Karan (IND) Singh
# kalshi_date=2026-05-04
timestamp,Karan (IND) Singh,Matt Kleiman
2026-05-04T06:14:00Z,84.00,
2026-05-04T07:14:00Z,84.00,20.22
2026-05-04T07:40:00Z,85.00,15.87
2026-05-04T07:41:00Z,88.46,12.23
2026-05-04T07:52:00Z,88.46,13.00
2026-05-04T07:55:00Z,88.46,18.69
2026-05-04T08:36:00Z,85.00,16.00
2026-05-04T10:24:00Z,85.00,12.00
2026-05-04T10:57:00Z,90.00,9.00
2026-05-04T11:13:00Z,90.00,9.00
2026-05-04T11:57:00Z,91.67,9.00
2026-05-04T12:54:00Z,91.38,9.00
2026-05-04T13:06:00Z,94.97,9.00
2026-05-04T13:33:00Z,95.00,9.00
2026-05-04T13:51:00Z,90.00,10.94
2026-05-04T14:34:00Z,90.00,10.94
2026-05-04T14:56:00Z,88.00,12.08
2026-05-04T15:00:00Z,89.71,12.00
2026-05-04T15:03:00Z,90.00,12.00
2026-05-04T15:17:00Z,90.00,10.00
2026-05-04T15:50:00Z,90.00,13.99
2026-05-04T16:18:00Z,89.00,13.99
2026-05-04T16:27:00Z,89.00,12.00
2026-05-04T16:48:00Z,90.00,12.00
2026-05-04T16:49:00Z,90.00,13.00
2026-05-04T17:02:00Z,90.00,13.00
2026-05-04T17:14:00Z,90.95,12.00
2026-05-04T17:16:00Z,90.95,10.59
2026-05-04T17:18:00Z,90.95,12.00
2026-05-04T17:20:00Z,90.95,12.00
2026-05-04T17:21:00Z,90.95,11.54
2026-05-04T17:22:00Z,90.95,5.00
2026-05-04T17:23:00Z,90.95,9.31
2026-05-04T17:24:00Z,90.95,11.00
2026-05-04T17:25:00Z,90.95,11.03
2026-05-04T17:28:00Z,90.95,11.00
2026-05-04T17:30:00Z,94.00,11.39
2026-05-04T17:31:00Z,91.00,11.33
2026-05-04T17:32:00Z,90.20,9.66
2026-05-04T17:33:00Z,89.00,11.15
2026-05-04T17:34:00Z,91.00,11.00
2026-05-04T17:35:00Z,91.62,11.00
2026-05-04T17:36:00Z,91.62,11.00
2026-05-04T17:37:00Z,89.00,11.00
2026-05-04T17:38:00Z,91.00,9.87
2026-05-04T17:39:00Z,91.09,9.75
2026-05-04T17:40:00Z,91.09,10.93
2026-05-04T17:41:00Z,92.00,10.74
2026-05-04T17:42:00Z,91.90,8.00
2026-05-04T17:43:00Z,92.29,7.90
