# event_ticker=KXATPCHALLENGERMATCH-26MAY05ABOSAK
# final_score=7-6(2) 7-6(7)
# score_resolution=6-7 6-7
# match_winner=Valerio Aboian
# fav_player=Pedro Sakamoto
# dog_player=Valerio Aboian
# kalshi_date=2026-05-05
timestamp,Valerio Aboian,Pedro Sakamoto
2026-05-05T12:48:00Z,53.00,
2026-05-05T14:18:00Z,53.00,
2026-05-05T14:38:00Z,50.00,
2026-05-05T14:55:00Z,53.00,
2026-05-05T15:23:00Z,52.00,
2026-05-05T15:37:00Z,49.00,
2026-05-05T17:08:00Z,52.00,
2026-05-05T17:43:00Z,52.00,51.00
2026-05-05T18:09:00Z,52.00,51.00
2026-05-05T18:12:00Z,52.00,51.00
2026-05-05T18:46:00Z,52.00,51.00
2026-05-05T19:15:00Z,52.40,51.00
2026-05-05T19:32:00Z,52.40,50.00
2026-05-05T19:41:00Z,52.16,50.00
2026-05-05T19:42:00Z,54.00,50.00
2026-05-05T19:44:00Z,53.00,50.00
2026-05-05T19:45:00Z,54.00,50.00
2026-05-05T19:49:00Z,54.00,50.00
2026-05-05T20:02:00Z,54.00,50.00
2026-05-05T20:03:00Z,53.00,50.00
2026-05-05T20:05:00Z,53.00,50.00
2026-05-05T20:06:00Z,53.00,50.00
2026-05-05T20:07:00Z,53.00,50.00
2026-05-05T20:08:00Z,53.00,49.00
2026-05-05T20:09:00Z,53.00,50.00
2026-05-05T20:10:00Z,53.00,50.00
2026-05-05T20:16:00Z,53.00,50.00
2026-05-05T20:20:00Z,53.00,50.71
2026-05-05T20:22:00Z,53.00,51.00
2026-05-05T20:23:00Z,53.00,51.00
2026-05-05T20:24:00Z,53.00,51.00
2026-05-05T20:25:00Z,52.51,46.93
2026-05-05T20:26:00Z,53.33,49.63
2026-05-05T20:28:00Z,53.33,49.00
2026-05-05T20:29:00Z,53.33,49.85
2026-05-05T20:30:00Z,53.00,49.85
2026-05-05T20:31:00Z,53.00,49.00
2026-05-05T20:32:00Z,53.00,49.15
2026-05-05T20:33:00Z,53.00,49.69
2026-05-05T20:34:00Z,52.00,49.55
2026-05-05T20:35:00Z,52.27,49.00
2026-05-05T20:36:00Z,53.56,47.28
2026-05-05T20:37:00Z,53.32,48.87
2026-05-05T20:38:00Z,54.16,48.09
2026-05-05T20:39:00Z,54.96,47.14
2026-05-05T20:40:00Z,55.99,45.63
2026-05-05T20:41:00Z,53.20,47.59
2026-05-05T20:42:00Z,51.48,48.20
2026-05-05T20:43:00Z,45.31,55.30
2026-05-05T20:44:00Z,39.38,61.42
2026-05-05T20:45:00Z,37.93,63.36
2026-05-05T20:46:00Z,39.14,60.56
2026-05-05T20:47:00Z,44.00,57.83
2026-05-05T20:48:00Z,50.05,50.38
2026-05-05T20:49:00Z,51.90,50.09
