# event_ticker=KXATPCHALLENGERMATCH-26MAY05DUTMEN
# final_score=7-5 6-2
# score_resolution=5-7 2-6
# match_winner=Facundo Mena
# fav_player=Daniel Dutra Da Silva
# dog_player=Facundo Mena
# kalshi_date=2026-05-05
timestamp,Daniel Dutra Da Silva,Facundo Mena
2026-05-05T12:23:00Z,33.45,83.00
2026-05-05T12:50:00Z,38.00,83.00
2026-05-05T12:54:00Z,38.00,85.00
2026-05-05T14:51:00Z,38.00,65.73
2026-05-05T16:25:00Z,38.00,68.00
2026-05-05T16:26:00Z,38.00,68.00
2026-05-05T16:31:00Z,33.00,68.00
2026-05-05T16:34:00Z,38.00,68.00
2026-05-05T16:49:00Z,38.00,68.00
2026-05-05T16:50:00Z,39.00,68.00
2026-05-05T16:51:00Z,39.00,68.00
2026-05-05T16:56:00Z,39.00,60.00
2026-05-05T16:57:00Z,40.10,58.00
2026-05-05T17:03:00Z,40.10,65.00
2026-05-05T17:05:00Z,40.10,65.00
2026-05-05T17:17:00Z,35.53,65.00
2026-05-05T17:21:00Z,35.53,66.00
2026-05-05T17:35:00Z,42.00,66.00
2026-05-05T17:36:00Z,42.00,67.00
2026-05-05T17:39:00Z,42.00,67.00
2026-05-05T17:40:00Z,42.00,68.00
2026-05-05T17:51:00Z,33.27,68.94
2026-05-05T17:54:00Z,33.27,67.00
2026-05-05T18:04:00Z,33.27,67.91
2026-05-05T18:08:00Z,41.08,67.91
2026-05-05T18:12:00Z,41.08,70.00
2026-05-05T18:13:00Z,42.00,58.00
2026-05-05T18:14:00Z,43.72,58.00
2026-05-05T18:15:00Z,41.00,60.00
2026-05-05T18:16:00Z,40.00,60.00
2026-05-05T18:17:00Z,41.96,60.12
2026-05-05T18:18:00Z,44.92,58.00
2026-05-05T18:19:00Z,46.00,58.00
2026-05-05T18:20:00Z,47.07,56.18
2026-05-05T18:21:00Z,51.74,50.70
2026-05-05T18:22:00Z,56.00,48.49
2026-05-05T18:23:00Z,53.28,47.08
2026-05-05T18:24:00Z,46.62,53.49
2026-05-05T18:25:00Z,48.62,56.95
2026-05-05T18:26:00Z,50.25,55.39
2026-05-05T18:27:00Z,51.55,48.94
2026-05-05T18:28:00Z,56.00,44.72
2026-05-05T18:29:00Z,57.96,42.95
2026-05-05T18:30:00Z,59.47,42.64
2026-05-05T18:31:00Z,61.84,38.52
2026-05-05T18:32:00Z,61.82,39.31
2026-05-05T18:33:00Z,64.48,34.35
2026-05-05T18:34:00Z,65.21,34.46
2026-05-05T18:35:00Z,67.28,33.18
2026-05-05T18:36:00Z,68.79,32.38
2026-05-05T18:37:00Z,69.72,31.00
2026-05-05T18:38:00Z,70.61,30.39
2026-05-05T18:39:00Z,68.53,30.15
2026-05-05T18:40:00Z,69.06,31.35
2026-05-05T18:41:00Z,68.44,32.33
2026-05-05T18:42:00Z,69.86,31.18
2026-05-05T18:43:00Z,69.86,32.21
2026-05-05T18:44:00Z,65.96,35.00
2026-05-05T18:45:00Z,64.55,36.14
2026-05-05T18:46:00Z,63.95,37.20
2026-05-05T18:47:00Z,62.52,38.33
2026-05-05T18:48:00Z,59.78,42.31
2026-05-05T18:49:00Z,53.10,45.38
2026-05-05T18:50:00Z,56.56,43.25
2026-05-05T18:51:00Z,45.44,54.65
