# event_ticker=KXATPCHALLENGERMATCH-26MAY05GEEDIN
# final_score=6-2 6-7(6) 6-2
# score_resolution=6-2 6-7 6-2
# match_winner=Michael Geerts
# fav_player=Michael Geerts
# dog_player=Dinko Dinev
# kalshi_date=2026-05-05
timestamp,Michael Geerts,Dinko Dinev
2026-05-05T03:54:00Z,80.00,
2026-05-05T04:47:00Z,85.00,
2026-05-05T07:49:00Z,85.00,10.00
2026-05-05T07:51:00Z,93.67,6.00
2026-05-05T10:57:00Z,93.67,8.00
2026-05-05T10:59:00Z,92.00,8.00
2026-05-05T11:01:00Z,92.00,8.00
2026-05-05T11:08:00Z,92.00,8.00
2026-05-05T12:06:00Z,89.00,10.00
2026-05-05T12:13:00Z,95.00,6.00
2026-05-05T12:32:00Z,90.00,6.00
2026-05-05T12:56:00Z,94.00,6.00
2026-05-05T12:57:00Z,94.00,6.00
2026-05-05T13:29:00Z,94.00,6.00
2026-05-05T14:07:00Z,94.00,9.00
2026-05-05T14:27:00Z,90.00,9.00
2026-05-05T14:28:00Z,89.00,9.00
2026-05-05T14:48:00Z,89.00,7.00
2026-05-05T15:05:00Z,94.00,7.00
2026-05-05T15:12:00Z,94.10,7.00
2026-05-05T15:13:00Z,94.10,7.00
2026-05-05T15:14:00Z,93.00,9.92
2026-05-05T15:15:00Z,93.00,7.00
2026-05-05T15:19:00Z,93.00,7.00
2026-05-05T15:21:00Z,93.00,7.00
2026-05-05T15:25:00Z,93.00,6.00
2026-05-05T15:26:00Z,95.00,6.00
2026-05-05T15:29:00Z,95.00,5.00
2026-05-05T15:30:00Z,94.00,6.00
2026-05-05T15:31:00Z,93.52,6.09
2026-05-05T15:32:00Z,95.00,6.86
2026-05-05T15:34:00Z,95.00,6.02
2026-05-05T15:35:00Z,95.00,7.00
2026-05-05T15:36:00Z,94.61,6.11
2026-05-05T15:37:00Z,94.85,7.00
2026-05-05T15:38:00Z,95.00,7.00
2026-05-05T15:39:00Z,95.60,3.65
2026-05-05T15:40:00Z,95.60,5.00
2026-05-05T15:41:00Z,97.00,5.00
2026-05-05T15:42:00Z,97.00,7.00
2026-05-05T15:43:00Z,89.66,6.45
2026-05-05T15:45:00Z,94.59,6.45
2026-05-05T15:46:00Z,94.00,6.45
2026-05-05T15:47:00Z,95.00,6.45
2026-05-05T15:48:00Z,95.00,5.03
2026-05-05T15:49:00Z,95.00,7.00
2026-05-05T15:50:00Z,95.00,7.00
2026-05-05T15:53:00Z,95.00,7.00
2026-05-05T15:55:00Z,95.00,7.00
2026-05-05T15:57:00Z,94.03,6.00
2026-05-05T15:58:00Z,94.30,6.02
2026-05-05T15:59:00Z,94.30,6.60
2026-05-05T16:00:00Z,95.00,5.46
2026-05-05T16:01:00Z,94.00,6.00
2026-05-05T16:02:00Z,94.99,6.46
2026-05-05T16:03:00Z,94.67,6.00
2026-05-05T16:04:00Z,93.26,6.92
2026-05-05T16:05:00Z,95.00,6.26
2026-05-05T16:06:00Z,95.00,6.54
