# event_ticker=KXATPCHALLENGERMATCH-26MAY08SEGCLA
# final_score=6-7(8) 6-4 6-4
# score_resolution=7-6 4-6 4-6
# match_winner=Ryan Seggerman
# fav_player=Jay Clarke
# dog_player=Ryan Seggerman
# kalshi_date=2026-05-08
timestamp,Ryan Seggerman,Jay Clarke
2026-05-07T23:25:00Z,33.00,
2026-05-08T00:04:00Z,33.00,
2026-05-08T01:27:00Z,33.00,
2026-05-08T01:48:00Z,33.00,
2026-05-08T04:04:00Z,30.00,70.00
2026-05-08T04:23:00Z,30.00,70.00
2026-05-08T04:36:00Z,33.00,70.00
2026-05-08T04:55:00Z,33.00,70.00
2026-05-08T05:08:00Z,33.00,67.20
2026-05-08T05:21:00Z,33.00,69.00
2026-05-08T05:52:00Z,33.00,70.00
2026-05-08T06:30:00Z,33.00,69.00
2026-05-08T07:34:00Z,33.00,68.00
2026-05-08T07:46:00Z,31.00,68.00
2026-05-08T08:04:00Z,31.00,68.00
2026-05-08T08:24:00Z,31.00,68.00
2026-05-08T08:57:00Z,31.00,68.00
2026-05-08T08:58:00Z,32.00,68.00
2026-05-08T09:42:00Z,33.00,68.00
2026-05-08T09:52:00Z,33.00,68.00
2026-05-08T09:56:00Z,33.00,68.00
2026-05-08T10:05:00Z,33.00,67.00
2026-05-08T10:16:00Z,33.00,67.00
2026-05-08T10:17:00Z,33.00,67.00
2026-05-08T10:23:00Z,33.00,67.00
2026-05-08T10:30:00Z,34.00,67.00
2026-05-08T10:38:00Z,34.00,67.00
2026-05-08T10:39:00Z,34.00,67.00
2026-05-08T10:51:00Z,34.43,67.94
2026-05-08T10:57:00Z,34.00,67.94
2026-05-08T10:58:00Z,34.00,67.94
2026-05-08T11:05:00Z,34.53,67.94
2026-05-08T11:08:00Z,34.53,68.95
2026-05-08T11:09:00Z,35.81,67.63
2026-05-08T11:10:00Z,36.00,67.63
2026-05-08T11:11:00Z,33.22,67.63
2026-05-08T11:12:00Z,29.61,70.78
2026-05-08T11:13:00Z,33.52,66.30
2026-05-08T11:14:00Z,35.00,66.00
2026-05-08T11:15:00Z,38.73,61.94
2026-05-08T11:16:00Z,45.50,61.00
2026-05-08T11:17:00Z,35.00,66.00
2026-05-08T11:18:00Z,37.00,66.00
2026-05-08T11:20:00Z,37.00,68.00
2026-05-08T11:21:00Z,36.00,67.00
2026-05-08T11:22:00Z,38.02,62.68
2026-05-08T11:23:00Z,40.20,60.00
2026-05-08T11:24:00Z,42.00,58.00
2026-05-08T11:25:00Z,43.00,58.00
2026-05-08T11:26:00Z,44.76,54.39
2026-05-08T11:27:00Z,44.89,56.00
2026-05-08T11:28:00Z,42.60,61.72
2026-05-08T11:29:00Z,35.00,65.00
2026-05-08T11:30:00Z,37.97,63.99
2026-05-08T11:32:00Z,37.13,63.99
2026-05-08T11:33:00Z,39.00,63.99
2026-05-08T11:34:00Z,40.00,63.99
2026-05-08T11:35:00Z,36.18,63.99
2026-05-08T11:36:00Z,36.18,66.00
2026-05-08T11:37:00Z,36.19,66.00
2026-05-08T11:38:00Z,40.00,66.00
2026-05-08T11:40:00Z,39.00,62.00
2026-05-08T11:41:00Z,39.00,64.00
2026-05-08T11:42:00Z,41.40,64.00
2026-05-08T11:43:00Z,41.11,60.38
2026-05-08T11:44:00Z,38.93,62.00
2026-05-08T11:45:00Z,44.14,55.83
2026-05-08T11:46:00Z,39.10,55.83
2026-05-08T11:47:00Z,39.10,57.00
2026-05-08T11:48:00Z,38.00,64.00
2026-05-08T11:49:00Z,39.27,62.00
2026-05-08T11:50:00Z,43.88,62.00
2026-05-08T11:51:00Z,44.00,58.00
2026-05-08T11:52:00Z,42.16,58.00
2026-05-08T11:53:00Z,39.00,62.94
2026-05-08T11:56:00Z,44.00,62.94
2026-05-08T11:57:00Z,45.00,58.00
2026-05-08T11:58:00Z,45.97,57.00
2026-05-08T11:59:00Z,50.02,51.22
2026-05-08T12:00:00Z,51.99,48.02
2026-05-08T12:01:00Z,52.60,50.63
2026-05-08T12:02:00Z,45.64,56.07
2026-05-08T12:03:00Z,41.06,60.01
2026-05-08T12:04:00Z,48.27,51.70
2026-05-08T12:05:00Z,53.62,50.11
2026-05-08T12:06:00Z,48.07,55.59
2026-05-08T12:07:00Z,44.66,57.62
