# event_ticker=KXATPCHALLENGERMATCH-26MAY12COPBUT
# final_score=6-4 7-6(5)
# score_resolution=6-4 7-6
# match_winner=Kimmer Coppejans
# fav_player=Kimmer Coppejans
# dog_player=Edas Butvilas
# kalshi_date=2026-05-12
timestamp,Kimmer Coppejans,Edas Butvilas
2026-05-12T03:01:00Z,54.00,
2026-05-12T03:55:00Z,54.91,
2026-05-12T04:05:00Z,54.00,
2026-05-12T04:30:00Z,54.00,
2026-05-12T04:48:00Z,54.00,
2026-05-12T05:57:00Z,54.00,
2026-05-12T06:36:00Z,54.00,
2026-05-12T09:45:00Z,55.00,
2026-05-12T10:08:00Z,55.00,
2026-05-12T11:08:00Z,55.00,
2026-05-12T11:18:00Z,55.00,
2026-05-12T11:19:00Z,55.00,
2026-05-12T11:44:00Z,55.00,
2026-05-12T11:53:00Z,55.00,
2026-05-12T12:01:00Z,55.00,
2026-05-12T12:07:00Z,56.00,
2026-05-12T12:13:00Z,55.00,
2026-05-12T12:15:00Z,55.00,
2026-05-12T12:16:00Z,55.40,
2026-05-12T12:30:00Z,55.00,
2026-05-12T12:40:00Z,55.00,
2026-05-12T12:58:00Z,55.00,
2026-05-12T13:08:00Z,55.00,
2026-05-12T13:11:00Z,55.00,47.00
2026-05-12T13:24:00Z,55.00,47.00
2026-05-12T13:26:00Z,55.00,47.00
2026-05-12T13:50:00Z,55.00,47.00
2026-05-12T13:58:00Z,55.00,47.00
2026-05-12T13:59:00Z,55.00,47.00
2026-05-12T14:02:00Z,55.00,46.88
2026-05-12T14:03:00Z,54.00,47.77
2026-05-12T14:04:00Z,52.02,49.79
2026-05-12T14:05:00Z,51.00,49.79
2026-05-12T14:08:00Z,51.00,49.79
2026-05-12T14:09:00Z,51.00,50.00
2026-05-12T14:10:00Z,51.00,50.00
2026-05-12T14:11:00Z,53.89,47.19
2026-05-12T14:12:00Z,56.00,45.39
2026-05-12T14:13:00Z,56.92,43.98
2026-05-12T14:14:00Z,58.80,42.00
2026-05-12T14:15:00Z,60.06,41.92
2026-05-12T14:16:00Z,62.16,38.00
2026-05-12T14:17:00Z,64.98,35.26
2026-05-12T14:18:00Z,66.05,34.54
2026-05-12T14:19:00Z,67.97,31.03
2026-05-12T14:20:00Z,69.32,30.35
2026-05-12T14:21:00Z,65.31,34.47
2026-05-12T14:22:00Z,65.01,34.70
2026-05-12T14:23:00Z,64.00,37.81
2026-05-12T14:24:00Z,64.73,36.01
2026-05-12T14:25:00Z,66.77,34.02
2026-05-12T14:26:00Z,66.70,34.59
2026-05-12T14:27:00Z,67.08,32.59
2026-05-12T14:28:00Z,67.98,32.00
