# event_ticker=KXATPCHALLENGERMATCH-26MAY12ESTCOL
# final_score=7-5 6-4
# match_winner=Andrea Collarini
# fav_player=Andrea Collarini
# dog_player=Juan Estevez
# kalshi_date=2026-05-12
timestamp,Juan Estevez,Andrea Collarini
2026-05-12T06:59:00Z,35.00,65.00
2026-05-12T10:27:00Z,33.00,65.00
2026-05-12T10:29:00Z,33.00,69.00
2026-05-12T10:37:00Z,36.00,69.00
2026-05-12T12:31:00Z,36.00,65.00
2026-05-12T13:38:00Z,37.00,65.00
2026-05-12T13:51:00Z,37.00,62.16
2026-05-12T14:09:00Z,37.00,66.00
2026-05-12T14:11:00Z,37.00,68.00
2026-05-12T14:31:00Z,37.00,67.00
2026-05-12T14:43:00Z,37.00,68.00
2026-05-12T14:44:00Z,37.00,68.00
2026-05-12T14:46:00Z,30.00,70.69
2026-05-12T14:47:00Z,30.00,71.10
2026-05-12T14:48:00Z,29.00,74.11
2026-05-12T14:49:00Z,25.00,75.46
2026-05-12T14:50:00Z,22.98,77.00
2026-05-12T14:51:00Z,21.80,77.00
2026-05-12T14:52:00Z,21.80,83.00
2026-05-12T14:53:00Z,19.00,83.00
2026-05-12T14:54:00Z,19.00,81.00
2026-05-12T14:55:00Z,24.89,78.00
2026-05-12T14:56:00Z,27.00,78.00
2026-05-12T14:57:00Z,30.69,74.96
2026-05-12T14:58:00Z,28.00,74.96
2026-05-12T14:59:00Z,27.36,74.96
2026-05-12T15:00:00Z,27.36,73.00
2026-05-12T15:01:00Z,27.36,74.00
2026-05-12T15:02:00Z,27.36,66.24
2026-05-12T15:03:00Z,25.00,66.24
2026-05-12T15:04:00Z,25.00,77.00
2026-05-12T15:05:00Z,25.00,76.09
2026-05-12T15:06:00Z,25.00,76.00
2026-05-12T15:07:00Z,24.12,76.00
2026-05-12T15:08:00Z,25.39,76.00
2026-05-12T15:09:00Z,30.37,73.00
2026-05-12T15:10:00Z,30.86,73.00
2026-05-12T15:11:00Z,28.29,73.36
2026-05-12T15:12:00Z,33.03,66.00
2026-05-12T15:13:00Z,27.06,74.00
2026-05-12T15:14:00Z,27.06,74.00
2026-05-12T15:15:00Z,29.00,72.00
2026-05-12T15:16:00Z,31.00,70.43
2026-05-12T15:17:00Z,35.31,69.00
2026-05-12T15:18:00Z,41.00,69.00
2026-05-12T15:19:00Z,40.73,69.00
2026-05-12T15:20:00Z,48.00,69.00
2026-05-12T15:21:00Z,40.44,59.52
2026-05-12T15:22:00Z,32.51,68.60
2026-05-12T15:23:00Z,32.51,73.00
2026-05-12T15:24:00Z,30.10,73.00
2026-05-12T15:25:00Z,33.95,67.15
2026-05-12T15:26:00Z,32.25,67.98
2026-05-12T15:27:00Z,38.00,62.00
2026-05-12T15:28:00Z,38.00,61.00
2026-05-12T15:29:00Z,36.75,64.49
2026-05-12T15:30:00Z,34.00,67.87
2026-05-12T15:31:00Z,33.00,66.99
2026-05-12T15:32:00Z,28.87,70.38
2026-05-12T15:33:00Z,27.37,72.86
2026-05-12T15:34:00Z,21.02,79.36
2026-05-12T15:35:00Z,18.00,86.81
2026-05-12T15:37:00Z,13.00,89.00
2026-05-12T15:39:00Z,15.75,87.06
2026-05-12T15:40:00Z,15.75,89.00
2026-05-12T15:41:00Z,15.75,90.00
2026-05-12T15:42:00Z,17.00,81.02
2026-05-12T15:43:00Z,17.00,86.60
2026-05-12T15:44:00Z,15.00,86.00
2026-05-12T15:45:00Z,13.86,86.96
2026-05-12T15:46:00Z,13.86,85.97
2026-05-12T15:47:00Z,13.86,84.52
2026-05-12T15:48:00Z,17.60,83.91
2026-05-12T15:49:00Z,23.10,75.50
2026-05-12T15:50:00Z,27.00,75.50
2026-05-12T15:51:00Z,27.00,75.50
2026-05-12T15:52:00Z,27.58,75.00
2026-05-12T15:53:00Z,25.78,74.00
2026-05-12T15:54:00Z,28.00,74.11
2026-05-12T15:55:00Z,29.38,71.03
2026-05-12T15:56:00Z,30.00,71.03
2026-05-12T15:58:00Z,30.00,73.00
2026-05-12T15:59:00Z,31.47,68.00
2026-05-12T16:00:00Z,33.48,67.06
2026-05-12T16:01:00Z,33.89,69.78
2026-05-12T16:02:00Z,34.67,66.82
2026-05-12T16:03:00Z,37.04,66.37
2026-05-12T16:04:00Z,38.00,65.00
2026-05-12T16:05:00Z,38.00,64.00
2026-05-12T16:06:00Z,38.03,64.07
2026-05-12T16:07:00Z,37.87,64.00
2026-05-12T16:08:00Z,37.00,65.94
2026-05-12T16:09:00Z,37.14,69.92
2026-05-12T16:10:00Z,33.68,74.24
2026-05-12T16:11:00Z,18.94,81.23
2026-05-12T16:12:00Z,20.00,78.00
2026-05-12T16:13:00Z,22.00,80.60
2026-05-12T16:14:00Z,15.74,83.24
2026-05-12T16:15:00Z,15.32,85.77
2026-05-12T16:16:00Z,17.89,82.47
2026-05-12T16:17:00Z,17.79,81.38
2026-05-12T16:18:00Z,11.65,89.04
2026-05-12T16:19:00Z,10.78,91.41
2026-05-12T16:20:00Z,2.32,96.74
2026-05-12T16:21:00Z,1.00,99.00
