# event_ticker=KXATPCHALLENGERMATCH-26MAY13KOVMER
# final_score=6-3 5-7 6-2
# score_resolution=3-6 7-5 2-6
# match_winner=Aleksandar Kovacevic
# fav_player=Daniel Merida
# dog_player=Aleksandar Kovacevic
# kalshi_date=2026-05-13
timestamp,Aleksandar Kovacevic,Daniel Merida
2026-05-13T00:16:00Z,,72.00
2026-05-13T00:52:00Z,32.00,72.00
2026-05-13T01:05:00Z,32.00,72.00
2026-05-13T01:13:00Z,32.00,73.00
2026-05-13T02:30:00Z,32.00,72.00
2026-05-13T02:40:00Z,32.00,72.00
2026-05-13T02:59:00Z,30.00,72.00
2026-05-13T03:49:00Z,30.00,72.00
2026-05-13T03:57:00Z,30.00,72.00
2026-05-13T04:48:00Z,30.00,72.00
2026-05-13T04:57:00Z,30.00,72.00
2026-05-13T05:00:00Z,30.00,72.00
2026-05-13T05:32:00Z,28.00,72.00
2026-05-13T05:45:00Z,28.00,72.00
2026-05-13T07:13:00Z,28.00,72.00
2026-05-13T07:14:00Z,28.00,72.00
2026-05-13T07:17:00Z,28.00,71.00
2026-05-13T07:34:00Z,30.00,71.00
2026-05-13T07:38:00Z,30.00,72.00
2026-05-13T08:27:00Z,29.00,72.00
2026-05-13T08:31:00Z,29.00,72.69
2026-05-13T08:39:00Z,29.00,73.00
2026-05-13T08:41:00Z,29.00,73.00
2026-05-13T08:57:00Z,29.00,73.00
2026-05-13T09:07:00Z,29.69,73.00
2026-05-13T09:14:00Z,27.00,73.00
2026-05-13T09:21:00Z,27.00,72.22
2026-05-13T09:31:00Z,27.00,73.00
2026-05-13T09:32:00Z,27.00,73.00
2026-05-13T09:37:00Z,27.00,73.00
2026-05-13T09:43:00Z,29.00,73.00
2026-05-13T09:52:00Z,29.01,73.00
2026-05-13T09:54:00Z,29.01,73.00
2026-05-13T09:55:00Z,29.01,73.58
2026-05-13T09:58:00Z,29.01,71.00
2026-05-13T10:22:00Z,31.00,71.00
2026-05-13T10:23:00Z,30.78,68.67
2026-05-13T10:24:00Z,31.41,68.67
2026-05-13T10:25:00Z,34.80,65.00
2026-05-13T10:26:00Z,34.80,62.00
2026-05-13T10:27:00Z,35.00,62.78
2026-05-13T10:28:00Z,37.00,62.90
2026-05-13T10:29:00Z,37.02,63.86
2026-05-13T10:30:00Z,33.54,68.06
2026-05-13T10:31:00Z,32.76,68.06
2026-05-13T10:32:00Z,29.00,71.00
2026-05-13T10:33:00Z,27.00,72.99
2026-05-13T10:34:00Z,27.00,73.92
2026-05-13T10:35:00Z,26.00,73.91
2026-05-13T10:37:00Z,33.40,67.00
2026-05-13T10:39:00Z,32.00,67.00
2026-05-13T10:40:00Z,37.01,64.00
2026-05-13T10:41:00Z,48.73,52.00
2026-05-13T10:42:00Z,45.83,55.48
2026-05-13T10:43:00Z,45.83,58.87
2026-05-13T10:44:00Z,41.00,58.87
2026-05-13T10:45:00Z,44.72,54.13
2026-05-13T10:46:00Z,49.08,55.00
2026-05-13T10:47:00Z,34.68,61.70
2026-05-13T10:48:00Z,33.00,67.00
2026-05-13T10:49:00Z,33.00,67.00
2026-05-13T10:50:00Z,28.00,68.00
2026-05-13T10:51:00Z,25.57,73.77
2026-05-13T10:52:00Z,21.00,76.00
2026-05-13T10:53:00Z,27.00,72.00
2026-05-13T10:54:00Z,31.96,72.00
2026-05-13T10:55:00Z,33.05,72.00
2026-05-13T10:56:00Z,41.26,72.00
2026-05-13T10:57:00Z,46.09,56.00
2026-05-13T10:58:00Z,51.56,53.00
2026-05-13T10:59:00Z,50.00,50.31
2026-05-13T11:00:00Z,46.00,54.00
2026-05-13T11:01:00Z,46.43,52.37
2026-05-13T11:02:00Z,52.82,45.00
2026-05-13T11:03:00Z,57.04,42.08
2026-05-13T11:04:00Z,57.88,42.00
2026-05-13T11:05:00Z,57.88,42.00
2026-05-13T11:06:00Z,57.88,44.99
2026-05-13T11:07:00Z,58.85,43.77
2026-05-13T11:08:00Z,58.85,46.83
2026-05-13T11:09:00Z,58.85,48.00
2026-05-13T11:40:00Z,58.85,48.00
2026-05-13T11:41:00Z,58.99,46.00
2026-05-13T11:42:00Z,65.00,46.00
2026-05-13T11:43:00Z,69.15,42.00
2026-05-13T11:44:00Z,69.15,43.58
2026-05-13T11:45:00Z,72.91,44.00
2026-05-13T11:46:00Z,67.00,49.52
2026-05-13T11:47:00Z,67.00,42.85
2026-05-13T11:48:00Z,70.37,77.38
2026-05-13T11:49:00Z,65.75,44.03
2026-05-13T11:50:00Z,57.23,45.00
2026-05-13T11:51:00Z,53.99,53.75
2026-05-13T11:52:00Z,37.42,63.60
2026-05-13T11:53:00Z,33.10,69.18
2026-05-13T11:54:00Z,30.07,71.00
2026-05-13T11:55:00Z,33.73,71.16
2026-05-13T11:56:00Z,33.10,70.00
2026-05-13T11:57:00Z,31.89,71.00
2026-05-13T11:58:00Z,31.40,72.00
2026-05-13T11:59:00Z,32.27,73.94
2026-05-13T12:00:00Z,31.67,73.94
2026-05-13T12:01:00Z,31.70,74.03
2026-05-13T12:02:00Z,34.14,75.29
2026-05-13T12:03:00Z,36.16,65.74
2026-05-13T12:04:00Z,46.59,49.20
2026-05-13T12:05:00Z,58.13,45.89
2026-05-13T12:06:00Z,59.32,45.89
2026-05-13T12:07:00Z,63.46,41.43
2026-05-13T12:08:00Z,66.78,39.09
2026-05-13T12:09:00Z,63.84,41.07
2026-05-13T12:10:00Z,73.09,28.81
2026-05-13T12:11:00Z,87.30,12.25
2026-05-13T12:12:00Z,87.96,13.11
2026-05-13T12:13:00Z,85.96,16.08
2026-05-13T12:14:00Z,90.52,9.85
2026-05-13T12:15:00Z,93.89,6.88
2026-05-13T12:16:00Z,93.22,9.10
2026-05-13T12:17:00Z,93.61,8.73
2026-05-13T12:18:00Z,95.82,4.74
2026-05-13T12:19:00Z,97.95,1.00
2026-05-13T12:20:00Z,97.59,1.00
2026-05-13T12:21:00Z,98.02,1.00
2026-05-13T12:22:00Z,98.72,1.48
2026-05-13T12:23:00Z,97.43,3.53
2026-05-13T12:24:00Z,97.74,3.70
2026-05-13T12:25:00Z,96.74,2.99
2026-05-13T12:26:00Z,97.39,5.10
2026-05-13T12:27:00Z,96.39,4.58
2026-05-13T12:28:00Z,98.11,5.89
2026-05-13T12:29:00Z,98.88,2.61
2026-05-13T12:30:00Z,98.75,4.36
2026-05-13T12:31:00Z,98.91,1.00
2026-05-13T12:32:00Z,99.00,1.00
