# event_ticker=KXATPCHALLENGERMATCH-26MAY18MARALE
# final_score=6-2 6-3
# match_winner=Pol Martin Tiffon
# fav_player=Pol Martin Tiffon
# dog_player=Yannick Theodor Alexandrescou
# kalshi_date=2026-05-18
timestamp,Pol Martin Tiffon,Yannick Theodor Alexandrescou
2026-05-18T03:15:00Z,81.00,
2026-05-18T03:17:00Z,81.00,
2026-05-18T03:18:00Z,81.00,19.00
2026-05-18T05:57:00Z,82.00,19.00
2026-05-18T08:06:00Z,81.00,19.00
2026-05-18T11:02:00Z,81.00,20.00
2026-05-18T13:35:00Z,81.00,20.00
2026-05-18T14:31:00Z,82.00,20.00
2026-05-18T14:49:00Z,83.00,20.00
2026-05-18T14:52:00Z,83.00,20.00
2026-05-18T14:53:00Z,81.40,20.23
2026-05-18T14:54:00Z,79.20,21.00
2026-05-18T14:55:00Z,79.08,21.00
2026-05-18T14:56:00Z,82.00,21.00
2026-05-18T14:57:00Z,81.00,19.00
2026-05-18T14:58:00Z,81.00,22.00
2026-05-18T14:59:00Z,80.00,22.33
2026-05-18T15:00:00Z,78.00,22.33
2026-05-18T15:01:00Z,78.02,22.33
2026-05-18T15:03:00Z,79.00,21.50
2026-05-18T15:05:00Z,77.00,24.00
2026-05-18T15:06:00Z,80.00,17.67
2026-05-18T15:07:00Z,80.00,17.02
2026-05-18T15:10:00Z,75.01,25.00
2026-05-18T15:11:00Z,74.00,26.63
2026-05-18T15:12:00Z,74.17,24.08
2026-05-18T15:14:00Z,71.62,27.39
2026-05-18T15:15:00Z,72.14,29.53
2026-05-18T15:16:00Z,75.00,24.39
2026-05-18T15:17:00Z,79.00,20.14
2026-05-18T15:18:00Z,81.74,18.00
2026-05-18T15:19:00Z,83.33,16.75
2026-05-18T15:20:00Z,83.33,16.55
2026-05-18T15:21:00Z,86.58,16.55
2026-05-18T15:22:00Z,87.00,13.00
2026-05-18T15:23:00Z,89.86,11.00
2026-05-18T15:24:00Z,90.00,11.00
2026-05-18T15:25:00Z,90.00,11.00
2026-05-18T15:26:00Z,90.00,10.00
2026-05-18T15:27:00Z,90.00,10.00
2026-05-18T15:28:00Z,90.00,11.00
2026-05-18T15:29:00Z,92.90,7.13
2026-05-18T15:30:00Z,93.00,7.13
2026-05-18T15:31:00Z,92.00,7.13
2026-05-18T15:32:00Z,93.91,7.13
2026-05-18T15:34:00Z,94.00,7.13
2026-05-18T15:35:00Z,94.00,7.13
2026-05-18T15:36:00Z,94.00,7.13
2026-05-18T15:37:00Z,93.99,6.00
2026-05-18T15:38:00Z,95.59,5.11
2026-05-18T15:39:00Z,94.00,6.00
2026-05-18T15:40:00Z,93.00,7.00
2026-05-18T15:41:00Z,93.99,8.00
2026-05-18T15:43:00Z,93.00,7.00
2026-05-18T15:44:00Z,93.01,7.72
2026-05-18T15:45:00Z,93.00,7.00
2026-05-18T15:46:00Z,92.07,7.99
2026-05-18T15:47:00Z,91.00,9.00
2026-05-18T15:48:00Z,91.30,9.00
2026-05-18T15:49:00Z,92.74,9.00
2026-05-18T15:50:00Z,92.74,8.00
2026-05-18T15:51:00Z,92.00,9.00
2026-05-18T15:52:00Z,90.07,10.00
2026-05-18T15:53:00Z,90.07,10.00
2026-05-18T15:54:00Z,89.01,11.00
2026-05-18T15:55:00Z,88.00,12.00
2026-05-18T15:56:00Z,87.00,12.61
2026-05-18T15:57:00Z,86.82,14.88
2026-05-18T15:58:00Z,90.00,8.31
2026-05-18T15:59:00Z,93.00,6.51
2026-05-18T16:00:00Z,96.38,4.07
2026-05-18T16:01:00Z,97.00,3.00
2026-05-18T16:02:00Z,97.94,2.00
2026-05-18T16:03:00Z,97.68,2.97
2026-05-18T16:04:00Z,97.94,2.00
2026-05-18T16:05:00Z,99.00,2.00
2026-05-18T16:06:00Z,98.92,2.00
2026-05-18T16:07:00Z,98.42,1.03
2026-05-18T16:08:00Z,99.00,1.25
2026-05-18T16:09:00Z,98.99,1.80
2026-05-18T16:10:00Z,99.00,1.00
2026-05-18T16:11:00Z,99.00,1.00
2026-05-18T16:12:00Z,99.00,1.00
2026-05-18T16:13:00Z,99.00,1.00
2026-05-18T16:15:00Z,99.00,1.00
