# event_ticker=KXATPCHALLENGERMATCH-26MAY25DHAFER
# final_score=4-6 7-5 6-3
# score_resolution=6-4 5-7 3-6
# match_winner=Manas Dhamne
# fav_player=Frederico Ferreira Silva
# dog_player=Manas Dhamne
# kalshi_date=2026-05-25
timestamp,Manas Dhamne,Frederico Ferreira Silva
2026-05-25T01:47:00Z,35.00,
2026-05-25T03:30:00Z,35.00,64.00
2026-05-25T04:27:00Z,36.00,64.00
2026-05-25T06:09:00Z,35.50,64.00
2026-05-25T07:19:00Z,35.50,64.00
2026-05-25T07:52:00Z,35.50,64.00
2026-05-25T08:18:00Z,36.00,64.00
2026-05-25T10:47:00Z,36.00,64.00
2026-05-25T11:39:00Z,37.00,64.00
2026-05-25T11:54:00Z,37.00,64.00
2026-05-25T12:26:00Z,37.00,65.00
2026-05-25T12:31:00Z,37.00,66.00
2026-05-25T12:33:00Z,37.00,66.00
2026-05-25T12:39:00Z,37.00,66.00
2026-05-25T12:40:00Z,38.00,64.00
2026-05-25T12:41:00Z,38.00,58.00
2026-05-25T12:42:00Z,42.84,58.00
2026-05-25T12:43:00Z,42.10,57.87
2026-05-25T12:45:00Z,42.10,56.92
2026-05-25T12:46:00Z,41.78,60.00
2026-05-25T12:47:00Z,37.00,63.09
2026-05-25T12:48:00Z,37.33,61.19
2026-05-25T12:49:00Z,36.00,63.50
2026-05-25T12:50:00Z,38.00,62.00
2026-05-25T12:51:00Z,37.07,62.83
2026-05-25T12:52:00Z,40.00,62.83
2026-05-25T12:53:00Z,40.00,60.00
2026-05-25T12:54:00Z,41.29,60.00
2026-05-25T12:55:00Z,47.09,60.00
2026-05-25T12:56:00Z,45.00,57.75
2026-05-25T12:57:00Z,45.00,59.50
2026-05-25T12:58:00Z,45.00,61.74
2026-05-25T12:59:00Z,37.00,63.93
2026-05-25T13:00:00Z,30.93,70.15
2026-05-25T13:01:00Z,38.00,70.15
2026-05-25T13:02:00Z,38.00,68.00
2026-05-25T13:03:00Z,38.00,68.00
2026-05-25T13:04:00Z,33.50,69.75
2026-05-25T13:05:00Z,33.07,67.35
