# event_ticker=KXATPCHALLENGERMATCH-26MAY26HEMMON
# final_score=6-4 7-6(2)
# score_resolution=6-4 7-6
# match_winner=Calvin Hemery
# fav_player=Calvin Hemery
# dog_player=Khololwam Montsi
# kalshi_date=2026-05-26
timestamp,Calvin Hemery,Khololwam Montsi
2026-05-25T21:46:00Z,71.65,
2026-05-26T02:28:00Z,71.65,35.00
2026-05-26T04:06:00Z,69.00,35.00
2026-05-26T04:19:00Z,69.00,35.00
2026-05-26T05:09:00Z,69.00,35.00
2026-05-26T06:04:00Z,69.00,35.00
2026-05-26T06:30:00Z,70.35,35.00
2026-05-26T07:28:00Z,70.00,35.00
2026-05-26T07:32:00Z,71.00,35.00
2026-05-26T07:42:00Z,70.00,32.00
2026-05-26T07:44:00Z,71.00,32.00
2026-05-26T07:52:00Z,71.00,30.00
2026-05-26T07:53:00Z,71.00,30.00
2026-05-26T07:57:00Z,70.00,32.00
2026-05-26T08:05:00Z,70.00,24.00
2026-05-26T08:10:00Z,80.20,24.00
2026-05-26T08:14:00Z,75.00,24.00
2026-05-26T08:16:00Z,75.00,24.00
2026-05-26T08:17:00Z,75.00,29.72
2026-05-26T08:18:00Z,72.00,30.00
2026-05-26T08:21:00Z,72.00,30.00
2026-05-26T08:22:00Z,68.00,33.70
2026-05-26T08:23:00Z,66.37,36.04
2026-05-26T08:24:00Z,68.23,36.04
2026-05-26T08:25:00Z,65.51,37.00
2026-05-26T08:26:00Z,62.00,42.92
2026-05-26T08:27:00Z,64.00,39.73
2026-05-26T08:28:00Z,60.00,40.00
2026-05-26T08:29:00Z,65.00,37.50
2026-05-26T08:31:00Z,68.00,37.50
2026-05-26T08:33:00Z,62.00,39.00
2026-05-26T08:35:00Z,57.00,39.00
2026-05-26T08:36:00Z,62.00,39.00
2026-05-26T08:37:00Z,54.55,44.42
2026-05-26T08:38:00Z,63.00,44.42
2026-05-26T08:42:00Z,53.12,43.89
2026-05-26T08:43:00Z,58.00,43.89
2026-05-26T08:44:00Z,62.00,43.89
2026-05-26T08:45:00Z,64.00,43.89
2026-05-26T08:46:00Z,68.00,37.00
2026-05-26T08:47:00Z,68.00,35.00
2026-05-26T08:49:00Z,68.00,33.00
2026-05-26T08:50:00Z,68.00,32.00
2026-05-26T08:51:00Z,72.93,29.05
2026-05-26T08:52:00Z,75.40,28.00
2026-05-26T08:54:00Z,77.00,25.00
2026-05-26T08:55:00Z,82.74,17.39
2026-05-26T08:56:00Z,81.55,15.48
2026-05-26T08:58:00Z,84.89,14.00
2026-05-26T08:59:00Z,84.07,14.00
2026-05-26T09:02:00Z,84.07,14.00
2026-05-26T09:03:00Z,84.07,15.00
2026-05-26T09:04:00Z,84.07,15.00
2026-05-26T09:05:00Z,84.07,15.00
2026-05-26T09:06:00Z,87.00,15.00
2026-05-26T09:08:00Z,87.00,14.25
2026-05-26T09:09:00Z,83.27,17.00
2026-05-26T09:11:00Z,83.27,18.00
2026-05-26T09:12:00Z,82.00,18.00
2026-05-26T09:13:00Z,82.00,17.00
2026-05-26T09:14:00Z,86.00,17.00
2026-05-26T09:17:00Z,86.00,15.00
2026-05-26T09:18:00Z,87.00,15.00
2026-05-26T09:24:00Z,85.00,15.00
2026-05-26T09:25:00Z,87.68,14.00
2026-05-26T09:26:00Z,89.59,14.00
2026-05-26T09:27:00Z,89.00,12.49
2026-05-26T09:28:00Z,89.00,14.00
2026-05-26T09:31:00Z,89.00,12.00
2026-05-26T09:32:00Z,90.00,12.00
2026-05-26T09:35:00Z,90.18,12.00
2026-05-26T09:36:00Z,90.18,11.00
2026-05-26T09:39:00Z,87.29,14.00
2026-05-26T09:40:00Z,87.00,14.00
2026-05-26T09:41:00Z,87.00,14.00
2026-05-26T09:43:00Z,90.00,10.00
2026-05-26T09:45:00Z,90.00,11.37
2026-05-26T09:46:00Z,88.50,11.37
2026-05-26T09:47:00Z,89.00,11.37
2026-05-26T09:48:00Z,87.98,14.48
2026-05-26T09:49:00Z,87.98,14.00
2026-05-26T09:50:00Z,84.00,20.06
2026-05-26T09:51:00Z,84.00,19.00
2026-05-26T09:52:00Z,77.50,18.00
2026-05-26T09:53:00Z,77.50,22.17
2026-05-26T09:54:00Z,84.00,22.00
2026-05-26T09:55:00Z,85.00,22.00
2026-05-26T09:56:00Z,87.89,22.00
2026-05-26T09:58:00Z,86.94,16.00
2026-05-26T09:59:00Z,86.94,22.36
2026-05-26T10:00:00Z,79.00,22.87
2026-05-26T10:01:00Z,83.83,17.00
2026-05-26T10:02:00Z,83.83,17.00
2026-05-26T10:03:00Z,85.02,17.00
2026-05-26T10:04:00Z,87.68,17.00
2026-05-26T10:05:00Z,87.35,17.00
2026-05-26T10:06:00Z,90.00,13.00
2026-05-26T10:08:00Z,93.72,6.70
2026-05-26T10:09:00Z,95.00,4.00
2026-05-26T10:10:00Z,95.99,3.58
2026-05-26T10:11:00Z,97.00,4.39
2026-05-26T10:12:00Z,97.00,6.00
2026-05-26T10:14:00Z,96.00,5.00
2026-05-26T10:15:00Z,88.68,11.94
2026-05-26T10:16:00Z,88.66,15.37
2026-05-26T10:17:00Z,85.78,15.72
2026-05-26T10:18:00Z,84.00,17.00
2026-05-26T10:19:00Z,84.00,18.00
2026-05-26T10:20:00Z,84.00,18.00
2026-05-26T10:21:00Z,84.52,17.62
2026-05-26T10:22:00Z,86.00,14.00
2026-05-26T10:23:00Z,87.93,14.00
2026-05-26T10:24:00Z,87.04,14.00
2026-05-26T10:25:00Z,88.00,14.64
2026-05-26T10:26:00Z,90.35,12.00
2026-05-26T10:27:00Z,89.16,10.82
2026-05-26T10:28:00Z,93.54,6.11
2026-05-26T10:29:00Z,95.68,4.00
2026-05-26T10:30:00Z,98.01,2.00
2026-05-26T10:31:00Z,99.00,1.00
2026-05-26T10:32:00Z,99.00,1.00
