# event_ticker=KXATPMATCH-25AUG19MCDDAR
# final_score=7-6(5) 6-7(6) 6-4
# score_resolution=7-6 6-7 6-4
# match_winner=Luciano Darderi
# fav_player=Luciano Darderi
# dog_player=Mackenzie McDonald
# kalshi_date=2025-08-19
timestamp,Luciano Darderi,Mackenzie McDonald
2025-08-19T12:26:00Z,57.00,
2025-08-19T12:38:00Z,57.00,52.00
2025-08-19T12:39:00Z,57.00,52.00
2025-08-19T13:24:00Z,53.00,52.00
2025-08-19T13:30:00Z,53.00,52.00
2025-08-19T13:43:00Z,53.00,51.62
2025-08-19T14:06:00Z,48.00,51.62
2025-08-19T14:16:00Z,48.00,51.62
2025-08-19T14:20:00Z,48.00,51.62
2025-08-19T14:21:00Z,48.00,51.62
2025-08-19T14:25:00Z,47.00,53.00
2025-08-19T14:26:00Z,47.00,54.98
2025-08-19T14:30:00Z,47.00,55.00
2025-08-19T14:44:00Z,47.00,55.00
2025-08-19T14:58:00Z,47.00,55.00
2025-08-19T15:37:00Z,47.00,54.00
2025-08-19T15:38:00Z,47.00,54.00
2025-08-19T15:40:00Z,47.00,54.00
2025-08-19T15:53:00Z,47.00,54.00
2025-08-19T16:15:00Z,47.00,54.00
2025-08-19T16:23:00Z,47.00,54.00
2025-08-19T16:40:00Z,47.00,54.00
2025-08-19T16:50:00Z,48.00,54.00
2025-08-19T16:51:00Z,48.00,54.00
2025-08-19T17:01:00Z,48.00,54.00
2025-08-19T17:11:00Z,48.00,54.00
2025-08-19T17:34:00Z,49.00,54.00
2025-08-19T17:53:00Z,49.00,52.00
2025-08-19T17:55:00Z,49.00,52.00
2025-08-19T17:59:00Z,49.00,52.00
2025-08-19T18:43:00Z,48.00,51.00
2025-08-19T18:46:00Z,48.00,51.00
2025-08-19T18:47:00Z,48.00,51.00
2025-08-19T18:48:00Z,49.00,51.00
2025-08-19T18:53:00Z,49.00,52.00
2025-08-19T18:54:00Z,49.00,53.00
2025-08-19T19:04:00Z,49.00,53.00
2025-08-19T19:05:00Z,49.00,53.00
2025-08-19T19:22:00Z,49.00,53.00
2025-08-19T19:29:00Z,49.00,53.00
2025-08-19T19:30:00Z,49.00,53.00
2025-08-19T19:41:00Z,49.36,52.00
2025-08-19T19:42:00Z,49.36,52.00
2025-08-19T19:46:00Z,49.00,52.00
2025-08-19T19:55:00Z,49.00,53.00
2025-08-19T19:59:00Z,49.00,53.00
2025-08-19T20:02:00Z,49.00,53.00
2025-08-19T20:10:00Z,48.00,53.00
2025-08-19T20:18:00Z,49.00,53.00
2025-08-19T20:23:00Z,48.00,54.86
2025-08-19T20:25:00Z,48.00,57.00
2025-08-19T20:26:00Z,49.44,57.00
2025-08-19T20:30:00Z,49.00,57.00
2025-08-19T20:34:00Z,49.00,57.00
2025-08-19T20:36:00Z,49.00,52.00
2025-08-19T20:40:00Z,50.00,52.00
2025-08-19T20:41:00Z,50.00,52.00
2025-08-19T20:45:00Z,50.00,52.00
2025-08-19T20:46:00Z,50.00,54.06
2025-08-19T20:48:00Z,49.00,54.06
2025-08-19T20:49:00Z,48.89,53.00
2025-08-19T20:50:00Z,48.00,53.00
2025-08-19T20:51:00Z,48.00,53.00
2025-08-19T20:52:00Z,45.00,53.00
2025-08-19T20:53:00Z,45.68,56.00
2025-08-19T20:54:00Z,42.24,56.00
2025-08-19T20:55:00Z,39.01,69.95
2025-08-19T20:56:00Z,29.00,70.58
2025-08-19T20:57:00Z,28.00,74.00
2025-08-19T20:58:00Z,24.66,75.00
2025-08-19T20:59:00Z,23.00,77.06
2025-08-19T21:00:00Z,27.82,77.99
2025-08-19T21:01:00Z,25.76,74.85
2025-08-19T21:02:00Z,20.72,81.73
2025-08-19T21:03:00Z,20.23,87.77
2025-08-19T21:04:00Z,16.82,81.64
2025-08-19T21:05:00Z,27.81,75.14
2025-08-19T21:06:00Z,30.70,78.57
2025-08-19T21:07:00Z,32.02,78.57
2025-08-19T21:08:00Z,33.86,70.58
2025-08-19T21:09:00Z,36.63,70.58
2025-08-19T21:10:00Z,40.32,67.00
