# event_ticker=KXATPMATCH-25JUL19LAJATM
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Terence Atmane
# fav_player=Dusan Lajovic
# dog_player=Terence Atmane
# kalshi_date=2025-07-19
timestamp,Dusan Lajovic,Terence Atmane
2025-07-21T14:15:00Z,,29.00
2025-07-21T14:56:00Z,65.00,29.00
2025-07-21T16:43:00Z,62.00,29.00
2025-07-21T16:44:00Z,59.00,29.00
2025-07-21T16:48:00Z,59.00,39.00
2025-07-21T16:49:00Z,59.00,40.11
2025-07-21T16:51:00Z,59.00,42.00
2025-07-21T16:53:00Z,63.97,42.00
2025-07-21T16:57:00Z,62.00,42.00
2025-07-21T16:59:00Z,62.00,42.00
2025-07-21T17:03:00Z,65.00,42.00
2025-07-21T17:04:00Z,65.00,43.00
2025-07-21T17:05:00Z,58.00,52.00
2025-07-21T17:07:00Z,58.00,64.00
2025-07-21T17:11:00Z,38.61,61.00
2025-07-21T17:12:00Z,37.99,62.97
2025-07-21T17:13:00Z,37.99,59.00
2025-07-21T17:17:00Z,41.67,58.30
2025-07-21T17:18:00Z,41.67,63.00
2025-07-21T17:20:00Z,36.00,64.00
2025-07-21T17:21:00Z,36.00,68.00
2025-07-21T17:22:00Z,36.00,68.00
2025-07-21T17:24:00Z,36.00,61.00
2025-07-21T17:25:00Z,36.00,63.00
2025-07-21T17:27:00Z,36.00,62.00
2025-07-21T17:28:00Z,36.00,58.00
2025-07-21T17:29:00Z,47.03,52.00
2025-07-21T17:31:00Z,35.00,66.00
2025-07-21T17:33:00Z,34.95,65.05
2025-07-21T17:34:00Z,34.95,66.22
2025-07-21T17:36:00Z,34.95,61.53
2025-07-21T17:38:00Z,34.95,61.00
2025-07-21T17:39:00Z,34.95,61.00
2025-07-21T17:40:00Z,34.95,52.00
2025-07-21T17:41:00Z,34.95,46.04
2025-07-21T17:42:00Z,34.95,49.00
2025-07-21T17:43:00Z,34.95,56.03
2025-07-21T17:44:00Z,34.95,56.00
2025-07-21T17:46:00Z,34.95,61.00
2025-07-21T17:47:00Z,34.95,58.27
2025-07-21T17:48:00Z,34.95,58.00
2025-07-21T17:50:00Z,31.00,58.00
2025-07-21T17:52:00Z,31.00,77.51
2025-07-21T17:53:00Z,30.00,73.74
2025-07-21T17:54:00Z,30.00,77.01
2025-07-21T17:55:00Z,30.00,84.66
2025-07-21T17:56:00Z,30.00,91.00
2025-07-21T17:57:00Z,14.00,91.00
2025-07-21T17:58:00Z,14.00,88.34
2025-07-21T17:59:00Z,14.00,95.00
2025-07-21T18:01:00Z,7.00,95.00
2025-07-21T18:02:00Z,5.00,98.15
2025-07-21T18:03:00Z,5.00,92.00
2025-07-21T18:04:00Z,1.00,97.47
2025-07-21T18:06:00Z,1.00,98.00
2025-07-21T18:07:00Z,10.00,99.00
2025-07-21T18:11:00Z,10.00,99.00
