# event_ticker=KXATPMATCH-25JUL28COMDZU
# final_score=6-3 7-5
# score_resolution=3-6 5-7
# match_winner=Francisco Comesana
# fav_player=Damir Dzumhur
# dog_player=Francisco Comesana
# kalshi_date=2025-07-28
timestamp,Damir Dzumhur,Francisco Comesana
2025-07-28T12:43:00Z,,65.00
2025-07-28T12:52:00Z,37.00,65.00
2025-07-28T14:09:00Z,37.00,65.00
2025-07-28T14:24:00Z,37.00,65.00
2025-07-28T16:13:00Z,37.00,65.00
2025-07-28T17:35:00Z,37.00,65.00
2025-07-28T17:50:00Z,37.00,64.00
2025-07-28T18:05:00Z,37.00,64.00
2025-07-28T18:10:00Z,37.00,64.00
2025-07-28T18:20:00Z,37.00,64.00
2025-07-28T18:45:00Z,36.00,64.00
2025-07-28T18:52:00Z,36.00,64.00
2025-07-28T18:53:00Z,36.00,64.00
2025-07-28T18:54:00Z,37.02,64.00
2025-07-28T19:03:00Z,37.02,64.00
2025-07-28T19:07:00Z,37.00,64.00
2025-07-28T19:09:00Z,35.00,64.00
2025-07-28T19:12:00Z,35.00,65.00
2025-07-28T19:13:00Z,37.00,65.00
2025-07-28T19:19:00Z,43.73,65.00
2025-07-28T19:20:00Z,43.73,66.64
2025-07-28T19:21:00Z,43.73,67.00
2025-07-28T19:22:00Z,35.00,67.00
2025-07-28T19:23:00Z,36.00,67.00
2025-07-28T19:24:00Z,33.00,66.15
2025-07-28T19:25:00Z,35.03,68.00
2025-07-28T19:26:00Z,30.00,69.86
2025-07-28T19:27:00Z,32.00,69.00
2025-07-28T19:29:00Z,31.75,69.00
2025-07-28T19:32:00Z,34.00,69.00
2025-07-28T19:33:00Z,33.00,71.00
2025-07-28T19:36:00Z,30.00,71.00
2025-07-28T19:37:00Z,29.00,71.00
2025-07-28T19:38:00Z,31.00,73.21
2025-07-28T19:39:00Z,23.00,76.60
2025-07-28T19:40:00Z,23.09,76.60
2025-07-28T19:41:00Z,32.30,72.00
2025-07-28T19:42:00Z,35.35,65.00
2025-07-28T19:43:00Z,37.00,65.00
2025-07-28T19:44:00Z,36.00,67.00
2025-07-28T19:45:00Z,34.55,69.04
2025-07-28T19:46:00Z,34.00,66.83
2025-07-28T19:47:00Z,35.08,67.00
2025-07-28T19:48:00Z,39.67,59.26
2025-07-28T19:49:00Z,39.50,59.26
2025-07-28T19:50:00Z,40.00,60.00
2025-07-28T19:51:00Z,48.10,60.00
2025-07-28T19:52:00Z,40.00,60.00
2025-07-28T19:53:00Z,39.89,71.00
2025-07-28T19:54:00Z,39.89,63.60
2025-07-28T19:55:00Z,27.38,73.82
2025-07-28T19:56:00Z,25.71,74.00
2025-07-28T19:57:00Z,25.71,81.58
2025-07-28T19:58:00Z,25.71,84.00
2025-07-28T19:59:00Z,14.00,85.00
2025-07-28T20:00:00Z,14.99,85.00
2025-07-28T20:01:00Z,18.92,85.00
2025-07-28T20:02:00Z,18.92,86.01
2025-07-28T20:03:00Z,20.23,86.01
2025-07-28T20:04:00Z,17.80,83.91
2025-07-28T20:05:00Z,20.90,80.00
2025-07-28T20:07:00Z,21.54,82.78
2025-07-28T20:08:00Z,21.54,83.00
2025-07-28T20:09:00Z,23.10,84.00
2025-07-28T20:10:00Z,23.00,84.00
2025-07-28T20:11:00Z,25.03,84.00
2025-07-28T20:12:00Z,25.73,84.00
2025-07-28T20:13:00Z,25.98,84.00
2025-07-28T20:14:00Z,29.00,80.00
2025-07-28T20:15:00Z,21.98,85.00
2025-07-28T20:16:00Z,21.98,80.09
2025-07-28T20:17:00Z,23.00,77.66
2025-07-28T20:18:00Z,27.38,84.71
2025-07-28T20:19:00Z,25.01,80.00
2025-07-28T20:20:00Z,20.00,82.00
2025-07-28T20:21:00Z,20.00,81.81
2025-07-28T20:22:00Z,20.00,80.67
2025-07-28T20:23:00Z,20.00,80.00
2025-07-28T20:24:00Z,27.47,77.71
2025-07-28T20:25:00Z,23.00,81.00
2025-07-28T20:26:00Z,23.00,79.91
2025-07-28T20:27:00Z,25.00,79.91
2025-07-28T20:30:00Z,23.94,81.00
2025-07-28T20:31:00Z,17.93,81.25
2025-07-28T20:32:00Z,14.00,87.21
2025-07-28T20:33:00Z,8.45,90.70
2025-07-28T20:34:00Z,3.79,98.00
2025-07-28T20:35:00Z,4.75,96.98
2025-07-28T20:36:00Z,4.75,96.00
2025-07-28T20:37:00Z,5.42,94.64
2025-07-28T20:38:00Z,8.81,92.50
2025-07-28T20:39:00Z,21.07,80.04
2025-07-28T20:40:00Z,20.31,79.91
2025-07-28T20:41:00Z,19.69,83.48
2025-07-28T20:42:00Z,20.77,78.20
2025-07-28T20:43:00Z,14.75,84.87
2025-07-28T20:44:00Z,13.61,83.32
2025-07-28T20:45:00Z,11.79,93.53
2025-07-28T20:46:00Z,9.77,95.00
2025-07-28T20:47:00Z,5.98,95.34
2025-07-28T20:48:00Z,6.00,96.00
2025-07-28T20:49:00Z,9.17,91.61
2025-07-28T20:50:00Z,1.10,98.63
2025-07-28T20:51:00Z,1.10,99.00
