# event_ticker=KXATPMATCH-25JUL28OCOTSE
# final_score=6-1 6-2
# match_winner=Christopher O'Connell
# fav_player=Christopher O'Connell
# dog_player=Chun Hsin Tseng
# kalshi_date=2025-07-28
timestamp,Christopher O'Connell,Chun Hsin Tseng
2025-07-28T12:04:00Z,59.00,
2025-07-28T12:08:00Z,59.00,43.00
2025-07-28T12:11:00Z,59.00,43.00
2025-07-28T12:17:00Z,59.00,43.00
2025-07-28T12:24:00Z,58.00,43.00
2025-07-28T12:27:00Z,58.00,43.00
2025-07-28T12:29:00Z,58.00,43.00
2025-07-28T12:31:00Z,58.00,43.00
2025-07-28T12:32:00Z,58.43,43.00
2025-07-28T12:38:00Z,58.00,43.00
2025-07-28T12:40:00Z,58.00,43.00
2025-07-28T12:46:00Z,58.00,43.00
2025-07-28T12:48:00Z,58.00,43.00
2025-07-28T12:54:00Z,58.00,43.00
2025-07-28T12:55:00Z,58.00,44.00
2025-07-28T13:01:00Z,58.00,44.00
2025-07-28T13:06:00Z,58.00,44.00
2025-07-28T13:09:00Z,58.00,44.00
2025-07-28T13:11:00Z,58.00,44.00
2025-07-28T13:21:00Z,58.00,44.00
2025-07-28T13:30:00Z,58.00,44.00
2025-07-28T13:31:00Z,58.00,44.00
2025-07-28T13:32:00Z,58.00,44.00
2025-07-28T13:41:00Z,58.00,44.00
2025-07-28T13:50:00Z,58.00,44.00
2025-07-28T14:04:00Z,58.00,44.00
2025-07-28T14:13:00Z,59.00,44.00
2025-07-28T14:14:00Z,60.00,44.00
2025-07-28T14:15:00Z,60.00,44.00
2025-07-28T14:19:00Z,60.00,41.00
2025-07-28T14:22:00Z,60.00,41.00
2025-07-28T14:28:00Z,60.00,41.00
2025-07-28T14:29:00Z,60.00,41.57
2025-07-28T14:31:00Z,60.00,42.00
2025-07-28T14:33:00Z,60.00,42.00
2025-07-28T14:34:00Z,60.00,42.00
2025-07-28T14:40:00Z,58.00,42.00
2025-07-28T14:46:00Z,60.00,42.00
2025-07-28T14:50:00Z,60.00,42.00
2025-07-28T14:52:00Z,60.00,42.00
2025-07-28T14:54:00Z,60.00,42.00
2025-07-28T14:56:00Z,60.00,42.00
2025-07-28T14:58:00Z,60.00,42.00
2025-07-28T15:06:00Z,60.00,41.00
2025-07-28T15:10:00Z,61.00,41.00
2025-07-28T15:14:00Z,73.00,37.27
2025-07-28T15:16:00Z,66.00,37.27
2025-07-28T15:18:00Z,71.00,37.27
2025-07-28T15:19:00Z,72.00,37.27
2025-07-28T15:20:00Z,72.25,25.00
2025-07-28T15:22:00Z,76.00,25.00
2025-07-28T15:24:00Z,74.06,25.00
2025-07-28T15:25:00Z,68.99,30.35
2025-07-28T15:26:00Z,68.99,34.00
2025-07-28T15:27:00Z,68.99,34.00
2025-07-28T15:28:00Z,68.99,31.48
2025-07-28T15:29:00Z,68.99,33.00
2025-07-28T15:30:00Z,75.00,26.00
2025-07-28T15:32:00Z,66.65,26.00
2025-07-28T15:33:00Z,76.39,26.43
2025-07-28T15:34:00Z,77.00,26.43
2025-07-28T15:35:00Z,76.00,25.00
2025-07-28T15:36:00Z,77.09,25.00
2025-07-28T15:37:00Z,78.00,25.00
2025-07-28T15:40:00Z,79.96,25.00
2025-07-28T15:41:00Z,80.00,25.00
2025-07-28T15:42:00Z,78.94,25.00
2025-07-28T15:43:00Z,80.00,12.74
2025-07-28T15:44:00Z,83.07,13.31
2025-07-28T15:45:00Z,87.90,13.31
2025-07-28T15:46:00Z,87.61,12.00
2025-07-28T15:47:00Z,89.00,12.00
2025-07-28T15:48:00Z,89.03,12.00
2025-07-28T15:50:00Z,90.92,12.00
2025-07-28T15:51:00Z,93.89,9.98
2025-07-28T15:52:00Z,91.02,11.67
2025-07-28T15:53:00Z,91.02,11.00
2025-07-28T15:54:00Z,92.00,6.00
2025-07-28T15:55:00Z,96.77,5.24
2025-07-28T15:56:00Z,94.99,5.24
2025-07-28T15:58:00Z,97.96,5.07
2025-07-28T15:59:00Z,96.99,3.62
2025-07-28T16:00:00Z,97.77,3.00
2025-07-28T16:01:00Z,97.00,3.00
2025-07-28T16:02:00Z,97.00,3.00
2025-07-28T16:03:00Z,93.00,6.00
2025-07-28T16:04:00Z,93.00,7.00
2025-07-28T16:05:00Z,95.00,8.00
2025-07-28T16:06:00Z,94.08,8.00
2025-07-28T16:07:00Z,95.00,8.00
2025-07-28T16:08:00Z,96.00,8.00
2025-07-28T16:09:00Z,95.00,5.00
2025-07-28T16:11:00Z,97.00,5.00
2025-07-28T16:12:00Z,98.00,2.00
2025-07-28T16:13:00Z,98.46,3.00
2025-07-28T16:17:00Z,94.00,3.00
2025-07-28T16:18:00Z,94.00,3.00
2025-07-28T16:19:00Z,92.05,9.12
2025-07-28T16:20:00Z,98.00,8.00
2025-07-28T16:21:00Z,97.00,5.77
2025-07-28T16:22:00Z,97.00,3.00
2025-07-28T16:24:00Z,99.00,2.00
2025-07-28T16:25:00Z,99.00,1.06
2025-07-28T16:26:00Z,99.00,1.06
2025-07-28T16:27:00Z,99.00,1.00
2025-07-28T16:29:00Z,99.00,1.00
