# event_ticker=KXATPMATCH-25OCT02YUNCER
# final_score=6-3 6-7(5) 6-3
# score_resolution=6-3 6-7 6-3
# match_winner=Yunchaokete Bu
# fav_player=Yunchaokete Bu
# dog_player=Juan Manuel Cerundolo
# kalshi_date=2025-10-02
timestamp,Yunchaokete Bu,Juan Manuel Cerundolo
2025-10-02T02:14:00Z,,45.00
2025-10-02T02:55:00Z,,37.00
2025-10-02T03:07:00Z,,36.00
2025-10-02T03:12:00Z,64.00,36.00
2025-10-02T03:34:00Z,64.00,38.00
2025-10-02T04:30:00Z,63.00,38.00
2025-10-02T04:32:00Z,63.00,38.00
2025-10-02T05:08:00Z,63.00,38.00
2025-10-02T05:09:00Z,63.00,38.00
2025-10-02T05:42:00Z,63.00,38.00
2025-10-02T05:45:00Z,63.00,38.00
2025-10-02T05:50:00Z,63.00,38.00
2025-10-02T05:57:00Z,63.00,38.00
2025-10-02T06:17:00Z,63.00,38.00
2025-10-02T06:37:00Z,63.00,38.00
2025-10-02T06:53:00Z,63.00,38.00
2025-10-02T09:06:00Z,63.00,38.00
2025-10-02T09:20:00Z,63.00,38.00
2025-10-02T09:25:00Z,63.00,38.00
2025-10-02T09:40:00Z,63.00,38.00
2025-10-02T09:41:00Z,63.00,38.00
2025-10-02T09:43:00Z,63.00,38.00
2025-10-02T09:56:00Z,63.00,38.00
2025-10-02T10:17:00Z,63.00,38.00
2025-10-02T10:39:00Z,64.00,38.00
2025-10-02T10:41:00Z,64.00,38.00
2025-10-02T10:54:00Z,64.00,38.00
2025-10-02T10:59:00Z,64.00,38.00
2025-10-02T11:07:00Z,64.00,38.00
2025-10-02T11:08:00Z,64.00,38.00
2025-10-02T11:11:00Z,64.00,38.00
2025-10-02T11:18:00Z,63.00,38.00
2025-10-02T11:22:00Z,63.00,38.00
2025-10-02T11:27:00Z,63.91,38.00
2025-10-02T11:28:00Z,64.00,38.00
2025-10-02T11:34:00Z,64.00,38.00
2025-10-02T11:35:00Z,64.00,38.00
2025-10-02T11:37:00Z,64.00,38.00
2025-10-02T11:39:00Z,64.00,38.00
2025-10-02T11:41:00Z,64.00,38.00
2025-10-02T11:43:00Z,64.00,38.00
2025-10-02T11:44:00Z,63.00,38.00
2025-10-02T11:45:00Z,62.00,38.00
2025-10-02T11:47:00Z,63.00,38.00
2025-10-02T11:48:00Z,63.00,38.00
2025-10-02T11:53:00Z,63.00,38.00
2025-10-02T11:54:00Z,63.00,38.00
2025-10-02T11:56:00Z,63.00,38.00
2025-10-02T12:00:00Z,63.00,38.00
2025-10-02T12:03:00Z,63.00,38.00
2025-10-02T12:04:00Z,63.00,38.00
2025-10-02T12:05:00Z,63.00,38.00
2025-10-02T12:09:00Z,63.00,38.00
2025-10-02T12:12:00Z,63.00,38.00
2025-10-02T12:14:00Z,63.00,38.00
2025-10-02T12:15:00Z,63.09,38.00
2025-10-02T12:16:00Z,64.00,38.00
2025-10-02T12:17:00Z,64.00,38.00
2025-10-02T12:18:00Z,64.00,38.00
2025-10-02T12:19:00Z,64.00,38.00
2025-10-02T12:20:00Z,64.23,38.00
2025-10-02T12:21:00Z,64.23,37.00
2025-10-02T12:24:00Z,64.23,37.00
2025-10-02T12:26:00Z,65.00,37.00
2025-10-02T12:28:00Z,65.00,37.00
2025-10-02T12:29:00Z,65.00,37.00
2025-10-02T12:30:00Z,62.62,37.00
2025-10-02T12:31:00Z,62.62,38.54
2025-10-02T12:33:00Z,62.62,39.00
2025-10-02T12:38:00Z,62.62,39.07
2025-10-02T12:39:00Z,63.00,40.00
2025-10-02T12:40:00Z,63.00,40.00
2025-10-02T12:43:00Z,63.65,40.00
2025-10-02T12:46:00Z,63.65,37.00
2025-10-02T12:47:00Z,63.65,37.00
2025-10-02T12:49:00Z,63.65,37.59
2025-10-02T12:50:00Z,63.65,39.00
2025-10-02T12:51:00Z,63.00,39.00
2025-10-02T12:52:00Z,64.37,39.00
2025-10-02T12:53:00Z,64.37,37.89
2025-10-02T12:54:00Z,64.37,37.00
2025-10-02T12:56:00Z,66.63,37.00
2025-10-02T12:57:00Z,71.00,32.00
2025-10-02T12:58:00Z,71.00,31.19
2025-10-02T12:59:00Z,69.70,33.59
2025-10-02T13:00:00Z,67.00,34.15
2025-10-02T13:01:00Z,69.03,33.47
2025-10-02T13:02:00Z,65.00,38.10
2025-10-02T13:03:00Z,65.78,36.13
2025-10-02T13:04:00Z,67.39,33.27
2025-10-02T13:05:00Z,68.49,31.00
2025-10-02T13:06:00Z,69.03,32.47
2025-10-02T13:07:00Z,70.43,32.45
2025-10-02T13:08:00Z,69.33,33.58
2025-10-02T13:09:00Z,67.37,32.95
2025-10-02T13:10:00Z,71.03,28.97
2025-10-02T13:11:00Z,72.93,29.00
2025-10-02T13:12:00Z,72.93,28.11
2025-10-02T13:13:00Z,75.07,25.72
2025-10-02T13:14:00Z,75.86,28.40
2025-10-02T13:15:00Z,74.64,28.00
2025-10-02T13:16:00Z,74.98,26.66
2025-10-02T13:17:00Z,77.52,22.09
2025-10-02T13:18:00Z,74.93,24.06
2025-10-02T13:19:00Z,74.93,25.69
2025-10-02T13:20:00Z,81.67,16.27
2025-10-02T13:21:00Z,85.50,13.39
2025-10-02T13:22:00Z,86.51,13.59
2025-10-02T13:23:00Z,93.24,9.38
2025-10-02T13:24:00Z,91.38,9.33
2025-10-02T13:25:00Z,90.93,11.91
2025-10-02T13:26:00Z,90.00,12.73
2025-10-02T13:27:00Z,89.00,12.00
2025-10-02T13:28:00Z,89.00,12.28
2025-10-02T13:29:00Z,90.10,12.65
2025-10-02T13:30:00Z,90.59,12.00
2025-10-02T13:31:00Z,91.95,8.82
2025-10-02T13:32:00Z,90.45,10.67
2025-10-02T13:33:00Z,91.84,11.16
2025-10-02T13:34:00Z,91.00,11.82
2025-10-02T13:35:00Z,90.35,13.13
2025-10-02T13:36:00Z,92.20,12.00
2025-10-02T13:37:00Z,92.00,10.01
2025-10-02T13:38:00Z,89.18,12.11
2025-10-02T13:39:00Z,89.10,15.32
2025-10-02T13:40:00Z,90.04,11.55
2025-10-02T13:41:00Z,89.86,11.00
2025-10-02T13:42:00Z,89.70,12.08
2025-10-02T13:43:00Z,90.00,11.90
2025-10-02T13:44:00Z,90.00,12.48
2025-10-02T13:45:00Z,89.66,12.00
2025-10-02T13:46:00Z,89.21,13.18
2025-10-02T13:47:00Z,86.99,13.33
2025-10-02T13:48:00Z,88.37,14.91
2025-10-02T13:49:00Z,88.38,12.31
2025-10-02T13:50:00Z,89.66,11.37
2025-10-02T13:51:00Z,90.15,11.92
2025-10-02T13:52:00Z,87.10,13.03
2025-10-02T13:53:00Z,86.00,15.92
2025-10-02T13:54:00Z,86.00,16.28
2025-10-02T13:55:00Z,85.95,15.39
2025-10-02T13:56:00Z,83.92,16.46
2025-10-02T13:57:00Z,85.39,17.65
2025-10-02T13:58:00Z,79.73,17.58
2025-10-02T13:59:00Z,84.72,17.93
2025-10-02T14:00:00Z,84.61,16.70
2025-10-02T14:01:00Z,88.86,13.73
2025-10-02T14:02:00Z,85.91,16.00
2025-10-02T14:03:00Z,84.09,17.04
2025-10-02T14:04:00Z,83.00,14.50
2025-10-02T14:05:00Z,84.98,17.79
2025-10-02T14:06:00Z,83.48,18.32
2025-10-02T14:07:00Z,85.82,16.58
2025-10-02T14:08:00Z,83.08,20.84
2025-10-02T14:09:00Z,81.82,18.94
2025-10-02T14:10:00Z,85.76,17.26
2025-10-02T14:11:00Z,85.42,15.06
2025-10-02T14:12:00Z,85.49,14.80
2025-10-02T14:13:00Z,83.48,18.09
2025-10-02T14:14:00Z,82.95,19.62
2025-10-02T14:15:00Z,82.10,20.57
2025-10-02T14:16:00Z,89.70,17.18
2025-10-02T14:17:00Z,80.32,21.09
2025-10-02T14:18:00Z,79.10,21.96
2025-10-02T14:19:00Z,77.24,23.79
2025-10-02T14:20:00Z,76.91,23.62
2025-10-02T14:21:00Z,76.37,24.77
2025-10-02T14:22:00Z,75.02,23.79
2025-10-02T14:23:00Z,81.72,18.19
2025-10-02T14:24:00Z,82.84,18.41
2025-10-02T14:25:00Z,79.35,22.36
2025-10-02T14:26:00Z,79.56,22.43
2025-10-02T14:27:00Z,80.00,22.17
2025-10-02T14:28:00Z,79.07,24.69
2025-10-02T14:29:00Z,82.28,20.91
2025-10-02T14:30:00Z,82.00,20.41
2025-10-02T14:31:00Z,77.19,23.66
2025-10-02T14:32:00Z,71.64,27.95
2025-10-02T14:33:00Z,77.26,22.90
2025-10-02T14:34:00Z,80.79,21.17
2025-10-02T14:35:00Z,82.79,16.91
2025-10-02T14:36:00Z,82.66,17.57
2025-10-02T14:37:00Z,84.30,13.77
2025-10-02T14:38:00Z,84.92,14.88
2025-10-02T14:39:00Z,80.39,20.47
2025-10-02T14:40:00Z,79.31,21.26
2025-10-02T14:41:00Z,76.87,24.62
2025-10-02T14:42:00Z,76.46,23.10
2025-10-02T14:43:00Z,75.56,27.86
2025-10-02T14:44:00Z,68.27,31.84
2025-10-02T14:45:00Z,64.79,34.90
2025-10-02T14:46:00Z,69.08,32.02
2025-10-02T14:47:00Z,73.39,27.96
2025-10-02T14:48:00Z,71.28,31.70
2025-10-02T14:49:00Z,74.32,24.02
2025-10-02T14:50:00Z,80.00,22.28
2025-10-02T14:51:00Z,77.82,26.46
2025-10-02T14:52:00Z,76.25,24.98
2025-10-02T14:53:00Z,69.86,31.56
2025-10-02T14:54:00Z,71.86,34.51
2025-10-02T14:55:00Z,78.94,22.12
2025-10-02T14:56:00Z,89.86,14.85
2025-10-02T14:57:00Z,92.86,6.76
2025-10-02T14:58:00Z,75.83,20.52
2025-10-02T14:59:00Z,65.29,37.98
2025-10-02T15:00:00Z,61.88,43.60
2025-10-02T15:01:00Z,60.05,40.36
2025-10-02T15:02:00Z,59.00,42.83
2025-10-02T15:03:00Z,58.17,42.97
2025-10-02T15:04:00Z,57.99,44.26
2025-10-02T15:05:00Z,58.54,46.38
2025-10-02T15:06:00Z,58.82,45.16
2025-10-02T15:07:00Z,55.87,43.23
2025-10-02T15:08:00Z,55.40,44.87
2025-10-02T15:09:00Z,60.63,39.20
2025-10-02T15:10:00Z,59.98,39.45
2025-10-02T15:11:00Z,58.09,41.99
2025-10-02T15:12:00Z,57.16,40.92
2025-10-02T15:13:00Z,63.47,38.63
2025-10-02T15:14:00Z,61.03,39.52
2025-10-02T15:15:00Z,59.58,41.49
2025-10-02T15:16:00Z,55.06,44.98
2025-10-02T15:17:00Z,57.90,44.06
2025-10-02T15:18:00Z,62.84,37.60
2025-10-02T15:19:00Z,65.01,37.13
2025-10-02T15:20:00Z,65.84,37.00
2025-10-02T15:21:00Z,64.73,38.51
2025-10-02T15:22:00Z,57.51,44.29
2025-10-02T15:23:00Z,55.43,46.31
2025-10-02T15:24:00Z,57.79,42.73
2025-10-02T15:25:00Z,55.68,44.96
2025-10-02T15:26:00Z,44.68,52.66
2025-10-02T15:27:00Z,47.52,51.06
2025-10-02T15:28:00Z,59.97,41.14
2025-10-02T15:29:00Z,60.08,41.33
2025-10-02T15:30:00Z,57.06,43.45
2025-10-02T15:31:00Z,57.04,41.32
2025-10-02T15:32:00Z,54.64,43.59
2025-10-02T15:33:00Z,57.46,40.95
2025-10-02T15:34:00Z,76.76,22.87
2025-10-02T15:35:00Z,89.66,11.31
2025-10-02T15:36:00Z,96.66,6.39
2025-10-02T15:37:00Z,96.02,3.96
2025-10-02T15:38:00Z,97.05,4.61
2025-10-02T15:39:00Z,96.68,3.76
2025-10-02T15:40:00Z,95.64,3.77
2025-10-02T15:41:00Z,94.70,5.48
2025-10-02T15:42:00Z,93.28,9.12
2025-10-02T15:43:00Z,92.23,10.75
2025-10-02T15:44:00Z,94.85,4.85
2025-10-02T15:45:00Z,95.57,6.11
2025-10-02T15:46:00Z,94.60,6.56
2025-10-02T15:47:00Z,98.91,1.03
2025-10-02T15:48:00Z,99.00,1.00
2025-10-02T15:49:00Z,99.00,1.00
2025-10-02T15:50:00Z,99.00,1.00
