# event_ticker=KXATPMATCH-25OCT14HIJSKA
# final_score=7-6(3) 2-6 6-3
# score_resolution=7-6 2-6 6-3
# match_winner=Rinky Hijikata
# fav_player=Rinky Hijikata
# dog_player=Timofey Skatov
# kalshi_date=2025-10-14
timestamp,Rinky Hijikata,Timofey Skatov
2025-10-14T07:05:00Z,65.00,
2025-10-14T07:08:00Z,65.70,34.00
2025-10-14T07:14:00Z,65.70,37.00
2025-10-14T07:23:00Z,65.70,77.00
2025-10-14T07:33:00Z,65.00,77.00
2025-10-14T07:39:00Z,65.00,38.00
2025-10-14T07:41:00Z,65.00,38.42
2025-10-14T07:43:00Z,66.00,38.42
2025-10-14T07:45:00Z,66.00,38.42
2025-10-14T07:51:00Z,66.00,38.42
2025-10-14T08:01:00Z,66.00,46.88
2025-10-14T08:11:00Z,65.00,46.88
2025-10-14T08:12:00Z,65.00,39.51
2025-10-14T08:14:00Z,65.00,43.54
2025-10-14T08:15:00Z,65.00,38.00
2025-10-14T08:16:00Z,65.00,38.00
2025-10-14T08:20:00Z,64.12,38.00
2025-10-14T08:23:00Z,64.00,38.00
2025-10-14T08:29:00Z,64.00,38.00
2025-10-14T08:30:00Z,64.62,38.00
2025-10-14T08:31:00Z,64.62,44.00
2025-10-14T08:32:00Z,75.12,70.12
2025-10-14T08:35:00Z,77.63,74.00
2025-10-14T08:38:00Z,69.00,29.73
2025-10-14T08:39:00Z,72.00,29.73
2025-10-14T08:40:00Z,79.00,24.68
2025-10-14T08:42:00Z,79.00,28.09
2025-10-14T08:43:00Z,74.35,28.07
2025-10-14T08:44:00Z,78.00,27.00
2025-10-14T08:45:00Z,74.86,27.00
2025-10-14T08:46:00Z,81.00,27.00
2025-10-14T08:47:00Z,75.30,27.00
2025-10-14T08:48:00Z,75.69,29.00
2025-10-14T08:49:00Z,75.69,29.00
2025-10-14T08:50:00Z,74.00,29.00
2025-10-14T08:51:00Z,75.00,28.40
2025-10-14T08:52:00Z,76.00,28.40
2025-10-14T08:53:00Z,78.00,28.40
2025-10-14T08:54:00Z,79.00,21.00
2025-10-14T08:55:00Z,76.00,28.31
2025-10-14T08:56:00Z,74.00,28.31
2025-10-14T08:57:00Z,73.00,28.31
2025-10-14T08:58:00Z,51.00,46.24
2025-10-14T08:59:00Z,73.00,31.00
2025-10-14T09:00:00Z,60.00,31.00
2025-10-14T09:01:00Z,65.00,30.05
2025-10-14T09:02:00Z,65.00,24.00
2025-10-14T09:03:00Z,65.00,21.94
2025-10-14T09:05:00Z,65.00,27.07
2025-10-14T09:06:00Z,75.00,27.07
2025-10-14T09:07:00Z,71.00,29.00
2025-10-14T09:08:00Z,68.72,35.00
2025-10-14T09:09:00Z,61.90,38.05
2025-10-14T09:10:00Z,61.90,20.00
2025-10-14T09:11:00Z,72.50,27.00
2025-10-14T09:12:00Z,60.00,41.03
2025-10-14T09:13:00Z,52.00,41.03
2025-10-14T09:14:00Z,52.00,51.20
2025-10-14T09:15:00Z,52.00,53.67
2025-10-14T09:16:00Z,32.53,53.67
2025-10-14T09:17:00Z,32.53,57.81
2025-10-14T09:20:00Z,52.00,46.00
2025-10-14T09:21:00Z,48.00,52.94
2025-10-14T09:23:00Z,48.00,39.00
2025-10-14T09:24:00Z,74.00,39.00
2025-10-14T09:25:00Z,69.00,39.00
2025-10-14T09:26:00Z,69.00,39.00
2025-10-14T09:27:00Z,74.00,39.00
2025-10-14T09:28:00Z,78.00,22.00
2025-10-14T09:29:00Z,81.00,23.68
2025-10-14T09:30:00Z,81.00,39.00
2025-10-14T09:31:00Z,81.00,22.00
2025-10-14T09:32:00Z,77.36,23.00
2025-10-14T09:33:00Z,81.00,20.32
2025-10-14T09:34:00Z,84.00,17.98
2025-10-14T09:35:00Z,84.00,19.38
2025-10-14T09:37:00Z,84.00,12.19
2025-10-14T09:39:00Z,82.00,21.99
2025-10-14T09:40:00Z,77.00,21.99
2025-10-14T09:42:00Z,84.32,21.99
2025-10-14T09:45:00Z,89.32,12.00
2025-10-14T09:46:00Z,88.57,12.00
2025-10-14T09:47:00Z,89.02,12.00
2025-10-14T09:48:00Z,89.02,14.00
2025-10-14T09:49:00Z,89.02,20.00
2025-10-14T09:50:00Z,89.02,20.00
2025-10-14T09:51:00Z,72.53,28.14
2025-10-14T09:52:00Z,72.00,31.53
2025-10-14T09:55:00Z,66.00,37.00
2025-10-14T09:56:00Z,66.00,37.05
2025-10-14T09:57:00Z,60.00,40.00
2025-10-14T09:58:00Z,60.00,50.00
2025-10-14T09:59:00Z,60.00,50.00
2025-10-14T10:01:00Z,51.00,50.00
2025-10-14T10:04:00Z,51.00,58.68
2025-10-14T10:05:00Z,51.00,64.00
2025-10-14T10:06:00Z,51.00,64.80
2025-10-14T10:07:00Z,51.00,64.80
2025-10-14T10:08:00Z,50.00,62.28
2025-10-14T10:09:00Z,50.00,62.00
2025-10-14T10:10:00Z,50.09,54.81
2025-10-14T10:11:00Z,56.00,78.10
2025-10-14T10:12:00Z,57.00,78.10
2025-10-14T10:13:00Z,55.00,40.00
2025-10-14T10:14:00Z,73.00,39.00
