# event_ticker=KXATPMATCH-26APR25BUDSHA
# final_score=6-2 6-1
# score_resolution=2-6 1-6
# match_winner=Nicolai Budkov Kjaer
# fav_player=Denis Shapovalov
# dog_player=Nicolai Budkov Kjaer
# kalshi_date=2026-04-25
timestamp,Nicolai Budkov Kjaer,Denis Shapovalov
2026-04-25T05:45:00Z,,62.00
2026-04-25T05:49:00Z,,62.00
2026-04-25T05:54:00Z,,62.00
2026-04-25T05:59:00Z,,62.00
2026-04-25T06:06:00Z,,62.00
2026-04-25T06:09:00Z,,62.00
2026-04-25T06:11:00Z,,62.00
2026-04-25T06:12:00Z,,62.00
2026-04-25T06:13:00Z,40.00,62.00
2026-04-25T06:14:00Z,40.00,62.00
2026-04-25T06:16:00Z,40.00,62.00
2026-04-25T06:22:00Z,40.00,62.00
2026-04-25T06:27:00Z,40.00,62.00
2026-04-25T06:34:00Z,39.00,62.00
2026-04-25T06:43:00Z,40.00,62.00
2026-04-25T06:46:00Z,40.00,62.00
2026-04-25T06:58:00Z,40.00,62.00
2026-04-25T06:59:00Z,40.00,62.00
2026-04-25T07:00:00Z,40.00,62.00
2026-04-25T07:03:00Z,40.00,61.00
2026-04-25T07:04:00Z,40.00,61.00
2026-04-25T07:13:00Z,40.00,59.00
2026-04-25T07:34:00Z,40.00,59.00
2026-04-25T07:40:00Z,40.00,59.00
2026-04-25T07:42:00Z,40.00,59.00
2026-04-25T07:43:00Z,40.00,59.00
2026-04-25T07:44:00Z,40.00,59.00
2026-04-25T07:53:00Z,41.00,59.00
2026-04-25T07:54:00Z,42.00,59.00
2026-04-25T08:02:00Z,42.00,60.00
2026-04-25T08:04:00Z,42.00,60.00
2026-04-25T08:08:00Z,42.00,60.00
2026-04-25T08:13:00Z,43.00,60.00
2026-04-25T08:31:00Z,43.00,60.00
2026-04-25T08:50:00Z,43.00,60.00
2026-04-25T08:54:00Z,43.00,60.00
2026-04-25T09:02:00Z,43.00,60.00
2026-04-25T09:08:00Z,43.00,59.00
2026-04-25T09:12:00Z,42.00,59.00
2026-04-25T09:29:00Z,42.00,59.00
2026-04-25T09:35:00Z,42.00,60.00
2026-04-25T09:57:00Z,41.00,60.00
2026-04-25T10:15:00Z,41.00,60.00
2026-04-25T10:20:00Z,41.00,60.00
2026-04-25T10:31:00Z,42.00,60.00
2026-04-25T10:49:00Z,42.00,60.00
2026-04-25T10:51:00Z,42.00,60.00
2026-04-25T11:31:00Z,42.00,60.00
2026-04-25T11:32:00Z,42.00,60.00
2026-04-25T11:41:00Z,42.00,60.00
2026-04-25T11:43:00Z,42.16,60.00
2026-04-25T11:44:00Z,43.00,60.00
2026-04-25T11:58:00Z,43.00,60.00
2026-04-25T12:05:00Z,43.00,60.00
2026-04-25T12:14:00Z,43.00,60.00
2026-04-25T12:29:00Z,43.00,60.00
2026-04-25T12:46:00Z,43.00,60.00
2026-04-25T13:02:00Z,43.00,60.00
2026-04-25T13:04:00Z,43.00,60.00
2026-04-25T13:25:00Z,43.00,60.00
2026-04-25T13:29:00Z,43.00,60.00
2026-04-25T13:30:00Z,43.00,60.00
2026-04-25T13:34:00Z,43.00,60.00
2026-04-25T13:41:00Z,43.00,60.00
2026-04-25T13:43:00Z,40.00,60.00
2026-04-25T13:45:00Z,41.00,60.00
2026-04-25T13:48:00Z,41.13,60.00
2026-04-25T13:49:00Z,41.13,60.00
2026-04-25T13:50:00Z,41.13,60.00
2026-04-25T14:02:00Z,42.00,60.00
2026-04-25T14:06:00Z,42.00,60.00
2026-04-25T14:08:00Z,42.00,60.00
2026-04-25T14:09:00Z,42.00,60.00
2026-04-25T14:13:00Z,42.00,60.00
2026-04-25T14:15:00Z,42.00,60.00
