# event_ticker=KXATPMATCH-26JAN03DZUBOR
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Nuno Borges
# fav_player=Damir Dzumhur
# dog_player=Nuno Borges
# kalshi_date=2026-01-03
timestamp,Damir Dzumhur,Nuno Borges
2026-01-05T00:51:00Z,,66.00
2026-01-05T01:09:00Z,34.00,66.00
2026-01-05T01:19:00Z,34.00,66.00
2026-01-05T03:48:00Z,34.67,66.00
2026-01-05T04:06:00Z,32.00,66.00
2026-01-05T04:28:00Z,32.00,66.00
2026-01-05T04:46:00Z,32.00,66.00
2026-01-05T05:27:00Z,32.00,66.00
2026-01-05T05:33:00Z,35.00,66.00
2026-01-05T05:37:00Z,35.00,66.00
2026-01-05T05:39:00Z,35.00,66.00
2026-01-05T05:40:00Z,35.00,66.00
2026-01-05T05:41:00Z,35.00,66.00
2026-01-05T05:42:00Z,35.00,66.25
2026-01-05T05:43:00Z,35.00,75.20
2026-01-05T05:44:00Z,23.00,77.00
2026-01-05T05:45:00Z,21.00,81.00
2026-01-05T05:46:00Z,20.71,81.00
2026-01-05T05:47:00Z,22.47,81.00
2026-01-05T05:48:00Z,24.61,81.00
2026-01-05T05:49:00Z,23.00,79.00
2026-01-05T05:50:00Z,22.49,79.00
2026-01-05T05:51:00Z,19.00,81.00
2026-01-05T05:52:00Z,23.64,83.62
2026-01-05T05:53:00Z,17.52,81.97
2026-01-05T05:54:00Z,22.95,80.00
2026-01-05T05:55:00Z,23.00,79.00
2026-01-05T05:56:00Z,22.59,79.00
2026-01-05T05:57:00Z,24.87,78.09
2026-01-05T05:58:00Z,28.89,70.00
2026-01-05T05:59:00Z,34.83,65.02
2026-01-05T06:00:00Z,34.99,67.17
2026-01-05T06:02:00Z,28.53,67.93
2026-01-05T06:03:00Z,22.88,72.05
2026-01-05T06:04:00Z,21.78,72.05
2026-01-05T06:05:00Z,23.64,72.05
2026-01-05T06:06:00Z,24.00,80.66
2026-01-05T06:07:00Z,24.00,74.00
2026-01-05T06:08:00Z,29.30,69.94
2026-01-05T06:09:00Z,24.61,75.90
2026-01-05T06:10:00Z,17.60,83.00
2026-01-05T06:11:00Z,18.87,83.05
2026-01-05T06:12:00Z,21.95,83.05
2026-01-05T06:13:00Z,21.64,80.16
2026-01-05T06:14:00Z,19.93,80.16
2026-01-05T06:15:00Z,20.09,81.58
2026-01-05T06:16:00Z,21.26,79.86
2026-01-05T06:17:00Z,17.32,82.84
2026-01-05T06:18:00Z,17.07,85.00
2026-01-05T06:19:00Z,18.00,85.00
2026-01-05T06:20:00Z,17.47,84.69
2026-01-05T06:21:00Z,18.50,85.03
2026-01-05T06:22:00Z,19.75,84.97
2026-01-05T06:23:00Z,18.97,82.00
2026-01-05T06:24:00Z,18.03,83.17
2026-01-05T06:25:00Z,15.28,82.00
2026-01-05T06:26:00Z,19.00,81.99
2026-01-05T06:27:00Z,18.24,82.28
2026-01-05T06:28:00Z,18.00,84.05
2026-01-05T06:29:00Z,18.00,85.12
2026-01-05T06:30:00Z,15.73,85.00
2026-01-05T06:31:00Z,15.01,87.00
2026-01-05T06:32:00Z,15.67,85.72
2026-01-05T06:33:00Z,12.24,88.81
2026-01-05T06:34:00Z,5.74,93.01
2026-01-05T06:35:00Z,5.71,94.70
2026-01-05T06:36:00Z,5.34,96.37
2026-01-05T06:37:00Z,4.76,97.03
2026-01-05T06:38:00Z,4.11,97.76
2026-01-05T06:39:00Z,3.14,97.76
2026-01-05T06:40:00Z,1.34,98.78
2026-01-05T06:41:00Z,1.34,99.00
2026-01-05T06:42:00Z,1.00,99.00
2026-01-05T06:43:00Z,1.01,99.00
2026-01-05T06:44:00Z,3.00,97.60
2026-01-05T06:45:00Z,3.80,97.60
2026-01-05T06:46:00Z,3.58,97.04
2026-01-05T06:47:00Z,2.54,98.24
2026-01-05T06:48:00Z,2.95,97.71
2026-01-05T06:49:00Z,4.14,97.71
2026-01-05T06:50:00Z,5.14,97.98
2026-01-05T06:51:00Z,4.03,96.00
2026-01-05T06:52:00Z,4.41,95.00
2026-01-05T06:53:00Z,4.30,95.99
2026-01-05T06:54:00Z,3.45,98.35
2026-01-05T06:55:00Z,2.27,99.00
2026-01-05T06:56:00Z,1.15,99.00
2026-01-05T06:57:00Z,1.00,99.00
